Company Name,Industry,Symbol,Series,ISIN Code
Emirates Telecom Group Company (e&) PJSC,Communication Services,EAND.AD,EQ,
ADNOC Gas plc,Energy,ADNOCGAS.AD,EQ,
ADNOC Drilling Company PJSC,Industrials,ADNOCDRILL.AD,EQ,
Alpha Dhabi Holding PJSC,Industrials,ALPHADHABI.AD,EQ,
ADNOC Logistics & Services plc,Transportation,ADNOCLS.AD,EQ,
Borouge PLC,Materials,BOROUGE.AD,EQ,
Fertiglobe plc,Materials,FERTIGLB.AD,EQ,
Presight AI Holding PLC,Technology,PRESIGHT.AD,EQ,
Pure Health Holding PJSC,Health Care,PUREHEALTH.AD,EQ,
International Holding Company PJSC,Financials,IHC.AD,EQ,
First Abu Dhabi Bank PJSC,Financials,FAB.AD,EQ,
Abu Dhabi Commercial Bank PJSC,Financials,ADCB.AD,EQ,
Abu Dhabi Islamic Bank PJSC,Financials,ADIB.AD,EQ,
Aldar Properties PJSC,Real Estate,ALDAR.AD,EQ,
Multiply Group PJSC,Financials,MULTIPLY.AD,EQ,
