Company Name,Industry,Symbol,Series,ISIN Code
Emirates NBD Bank PJSC,Financials,EMIRATESNBD.DU,EQ,
Emaar Properties PJSC,Real Estate,EMAAR.DU,EQ,
Dubai Islamic Bank PJSC,Financials,DIB.DU,EQ,
Emaar Development PJSC,Real Estate,EMAARDEV.DU,EQ,
Mashreqbank PSC,Financials,MASQ.DU,EQ,
Dubai Financial Market PJSC,Financials,DFM.DU,EQ,
Salik Company PJSC,Transportation,SALIK.DU,EQ,
Dubai Electricity & Water Authority PJSC,Utilities,DEWA.DU,EQ,
Talabat Holding Plc,Transportation,TALABAT.DU,EQ,
Parkin Co. PJSC,Consumer Discretionary,PARKIN.DU,EQ,
TECOM Group PJSC,Real Estate,TECOM.DU,EQ,
Dubai Residential REIT,Real Estate,DUBAIRESD.DU,EQ,
Sharjah Islamic Bank PJSC,Financials,SIB.DU,EQ,
Commercial Bank of Dubai PSC,Financials,CBD.DU,EQ,
Air Arabia PJSC,Transportation,AIRARABI.AD,EQ,
Aramex PJSC,Transportation,ARMX.DU,EQ,
Emirates Central Cooling Systems,Utilities,EMPOWER.DU,EQ,
Lulu Retail Holdings PLC,Consumer Discretionary,LULU.AD,EQ,
Spinneys 1961 Holding plc,Consumer Discretionary,SPINNEYS.AD,EQ,
Union Properties PJSC,Real Estate,UPP.DU,EQ,
