Company Name,Industry,Symbol,Series,ISIN Code
Lulu Retail Holdings PLC,Consumer Discretionary,LULU.AD,EQ,
Spinneys 1961 Holding plc,Consumer Discretionary,SPINNEYS.AD,EQ,
Union Coop,Consumer Discretionary,UNIONCOOP.DU,EQ,
Parkin Co. PJSC,Consumer Discretionary,PARKIN.DU,EQ,
Americana Restaurants International PLC,Consumer Discretionary,AMR.AD,EQ,
Alef Education Holding plc,Consumer Discretionary,ALEFEDT.AD,EQ,
Abu Dhabi National Hotels Co.,Consumer Discretionary,ADNH.AD,EQ,
Emirates Mobility Company PJSC,Consumer Discretionary,EMOBILITY.AD,EQ,
National Corporation for Tourism & Hotels,Consumer Discretionary,NCTH.AD,EQ,
Taaleem Holdings PJSC,Consumer Discretionary,TAALEEM.AD,EQ,
ADNH Catering plc,Consumer Discretionary,ADNHC.AD,EQ,
Palms Sports PrJSC,Consumer Discretionary,PALMS.AD,EQ,
Easy Lease Motorcycle Rental PJSC,Consumer Discretionary,EASYLEASE.AD,EQ,
Al Firdous Holdings PJSC,Consumer Discretionary,ALFIRDOUS.AD,EQ,
Al Seer Marine Supplies & Equipment Company PJSC,Consumer Discretionary,ASM.AD,EQ,
ALEC Holdings PJSC,Consumer Discretionary,ALEC.DU,EQ,
