Company Name,Industry,Symbol,Series,ISIN Code
International Holding Company PJSC,Financials,IHC.AD,EQ,
First Abu Dhabi Bank PJSC,Financials,FAB.AD,EQ,
Emirates NBD Bank PJSC,Financials,EMIRATESNBD.DU,EQ,
Abu Dhabi Commercial Bank PJSC,Financials,ADCB.AD,EQ,
Abu Dhabi Islamic Bank PJSC,Financials,ADIB.AD,EQ,
Dubai Islamic Bank PJSC,Financials,DIB.DU,EQ,
Mashreqbank PSC,Financials,MASQ.DU,EQ,
Commercial Bank of Dubai PSC,Financials,CBD.DU,EQ,
The National Bank of Ras Al Khaimah (RAKBANK),Financials,RAKBANK.AD,EQ,
Sharjah Islamic Bank PJSC,Financials,SIB.DU,EQ,
Dubai Financial Market PJSC,Financials,DFM.DU,EQ,
Invest Bank PJSC,Financials,INB.DU,EQ,
GFH Bank B.S.C.,Financials,GFH.DU,EQ,
Al Salam Bank B.S.C.,Financials,SALAMA.AD,EQ,
National Bank of Umm Al Qaiwain,Financials,NBQ.AD,EQ,
United Arab Bank PJSC,Financials,UAB.DU,EQ,
ANAN Investment Holding PJSC,Financials,ANAN.DU,EQ,
Abu Dhabi National Insurance Company PJSC,Financials,ADNIC.AD,EQ,
Phoenix Group PLC,Financials,PHX.DU,EQ,
Ajman Bank PJSC,Financials,AJMANBANK.DU,EQ,
Waha Capital Company PJSC,Financials,WAHA.AD,EQ,
Amanat Holdings PJSC,Financials,AMANAT.DU,EQ,
Investcorp Capital PLC,Financials,ICAP.AD,EQ,
Bank of Sharjah PJSC,Financials,BOS.AD,EQ,
MAIR Group PJSC,Financials,MAIR.AD,EQ,
Sukoon Insurance PJSC,Financials,SUKOON.AD,EQ,
Amlak Finance PJSC,Financials,AMLAK.DU,EQ,
E7 Group PJSC,Financials,E7.AD,EQ,
Dubai Insurance Company PSC,Financials,DIN.DU,EQ,
Emirates Insurance Co. PSC,Financials,EIC.DU,EQ,
National General Insurance Co. PJSC,Financials,NGI.DU,EQ,
Al Ramz Corporation Investment & Development PJSC,Financials,ALRAMZ.AD,EQ,
Shuaa Capital PSC,Financials,SHUAA.DU,EQ,
Emirates Investment Bank PJSC,Financials,EIBANK.AD,EQ,
Al Khaleej Investment PJSC,Financials,KICO.AD,EQ,
Al Buhaira National Insurance Company,Financials,ABNIC.AD,EQ,
Islamic Arab Insurance Co. (Salama),Financials,SALAMI.DU,EQ,
BHM Capital Financial Services PSC,Financials,BHMCAPITAL.DU,EQ,
Ithmaar Holding BSC,Financials,ITHMR.BH,EQ,
Umm Al Qaiwain General Investment Co. PSC,Financials,QIC.AD,EQ,
Abu Dhabi National Takaful Co.,Financials,TKFL.AD,EQ,
Dubai National Insurance & Reinsurance Co. PSC,Financials,DNIR.DU,EQ,
Orient Insurance PJSC,Financials,ORIENT.DU,EQ,
Union Insurance Company PJSC,Financials,UNION.DU,EQ,
Takaful Emarat Insurance PSC,Financials,TAKAFUL-EM.DU,EQ,
Hayah Insurance Company PJSC,Financials,HAYAH.DU,EQ,
Hily Holding PJSC,Financials,HH.DU,EQ,
Sukoon Takaful PJSC,Financials,SUKOON-T.AD,EQ,
Watania International Holding PJSC,Financials,WATANIA.DU,EQ,
Insurance House PJSC,Financials,IH.AD,EQ,
Aram Group PJSC,Financials,ARAM.AD,EQ,
Al Sagr National Insurance Co. PSC,Financials,ASNIC.DU,EQ,
Naeem Holding Co.,Financials,NAHO.DU,EQ,
Ekttitab Holding Co. SAKC,Financials,EKTTITAB.KW,EQ,
Dubai Islamic Insurance & Reinsurance Co.,Financials,AMAN.DU,EQ,
Al Salam Bank Sudan,Financials,ALSALAMSUDAN.AD,EQ,
Multiply Group PJSC,Financials,MULTIPLY.AD,EQ,
International Financial Advisors Holding K.P.S.C.,Financials,IFA.KW,EQ,
Gulf Finance House B.S.C.,Financials,GFH.BH,EQ,
