Company Name,Industry,Symbol,Series,ISIN Code
ADNOC Drilling Company PJSC,Industrials,ADNOCDRILL.AD,EQ,
Alpha Dhabi Holding PJSC,Industrials,ALPHADHABI.AD,EQ,
NMDC Group PJSC,Industrials,NMDC.AD,EQ,
NMDC Energy PJSC,Industrials,NMDCENR.AD,EQ,
Orascom Construction PLC,Industrials,ORA.DU,EQ,
Drake & Scull International PJSC,Industrials,DSI.DU,EQ,
Depa PLC,Industrials,DEPA.AD,EQ,
Two Point Zero Group PJSC,Industrials,2POINTZERO.AD,EQ,
Al Ansari Financial Services PJSC,Industrials,ALANSARI.AD,EQ,
ESG Emirates Stallions Group PJSC,Industrials,ESG.AD,EQ,
RAK Ceramics PJSC,Industrials,RAKCEC.AD,EQ,
Abu Dhabi Ship Building Co.,Industrials,ADSB.AD,EQ,
ADNOC Logistics & Services plc,Industrials,ADNOCLS.AD,EQ,
Salik Company PJSC,Industrials,SALIK.DU,EQ,
Talabat Holding Plc,Industrials,TALABAT.DU,EQ,
Abu Dhabi Ports Company PJSC,Industrials,ADPORTS.AD,EQ,
Air Arabia PJSC,Industrials,AIRARABI.AD,EQ,
Agility Global PLC,Industrials,AGILITY.KW,EQ,
Gulf Navigation Holding PJSC,Industrials,GULFNAV.DU,EQ,
Abu Dhabi Aviation Co.,Industrials,ADAVIATION.AD,EQ,
Dubai Taxi Co. PJSC,Industrials,DTC.DU,EQ,
Agility Public Warehousing Co.,Industrials,MKHZN.KW,EQ,
Aramex PJSC,Industrials,ARMX.DU,EQ,
