Company Name,Industry,Symbol,Series,ISIN Code
Borouge PLC,Materials,BOROUGE.AD,EQ,
Fertiglobe plc,Materials,FERTIGLB.AD,EQ,
Dubai Investment PJSC,Materials,DIC.DU,EQ,
Apex Investment PJSC,Materials,APEX.AD,EQ,
Emirates Steel ARKAN Building Materials PJSC,Materials,EMSTEEL.AD,EQ,
Abu Dhabi National Co. for Building Materials,Materials,BILDCO.AD,EQ,
National Cement Company PSC,Materials,NCC.AD,EQ,
Sharjah Cement and Industrial Development Co.,Materials,SCIDC.DU,EQ,
RAK Co. for White Cement & Construction Materials,Materials,RAKWCT.AD,EQ,
Fujairah Building Industries PSC,Materials,FBI.AD,EQ,
Gulf Cement Co.,Materials,GCEM.AD,EQ,
Fujairah Cement Industries,Materials,FCI.AD,EQ,
RAPCO Investment PJSC,Materials,RAPCO.AD,EQ,
