Company Name,Industry,Symbol,Series,ISIN Code
Emaar Properties PJSC,Real Estate,EMAAR.DU,EQ,
Aldar Properties PJSC,Real Estate,ALDAR.AD,EQ,
Emaar Development PJSC,Real Estate,EMAARDEV.DU,EQ,
Modon Holding PSC,Real Estate,MODON.AD,EQ,
TECOM Group PJSC,Real Estate,TECOM.DU,EQ,
Dubai Residential REIT,Real Estate,DUBAIRESD.DU,EQ,
Deyaar Development PJSC,Real Estate,DEYAAR.DU,EQ,
Union Properties PJSC,Real Estate,UPP.DU,EQ,
RAK Properties PJSC,Real Estate,RAKPROP.AD,EQ,
Eshraq Investments PJSC,Real Estate,ESHRAQ.DU,EQ,
Manazel PJSC,Real Estate,MANAZEL.DU,EQ,
Al Mal Capital REIT,Real Estate,AMCREIT.DU,EQ,
Emirates REIT (CEIC) PLC,Real Estate,REIT.DU,EQ,
Al-Mazaya Holding Co. SAKC,Real Estate,MAZAYA.KW,EQ,
ENBD REIT (CEIC) PLC,Real Estate,ENBDREIT.DU,EQ,
