Company Name,Industry,Symbol,Series,ISIN Code
Abu Dhabi National Energy Company PJSC (TAQA),Utilities,TAQA.AD,EQ,
Dubai Electricity & Water Authority PJSC,Utilities,DEWA.DU,EQ,
Emirates Central Cooling Systems Corporation PJSC,Utilities,EMPOWER.DU,EQ,
National Central Cooling Co. (Tabreed),Utilities,TABREED.AD,EQ,
Emirates Telecom Group Company (e&) PJSC,Communication Services,EAND.AD,EQ,
Emirates Integrated Telecommunications Company PJSC (du),Communication Services,DU.DU,EQ,
Ooredoo QPSC,Communication Services,ORDS.QA,EQ,
ADNOC Gas plc,Energy,ADNOCGAS.AD,EQ,
Dana Gas PJSC,Energy,DANA.AD,EQ,
ADNOC Drilling Company PJSC,Industrials,ADNOCDRILL.AD,EQ,
Alpha Dhabi Holding PJSC,Industrials,ALPHADHABI.AD,EQ,
NMDC Group PJSC,Industrials,NMDC.AD,EQ,
NMDC Energy PJSC,Industrials,NMDCENR.AD,EQ,
Orascom Construction PLC,Industrials,ORA.DU,EQ,
Drake & Scull International PJSC,Industrials,DSI.DU,EQ,
Depa PLC,Industrials,DEPA.AD,EQ,
Two Point Zero Group PJSC,Industrials,2POINTZERO.AD,EQ,
Al Ansari Financial Services PJSC,Industrials,ALANSARI.AD,EQ,
ESG Emirates Stallions Group PJSC,Industrials,ESG.AD,EQ,
RAK Ceramics PJSC,Industrials,RAKCEC.AD,EQ,
Abu Dhabi Ship Building Co.,Industrials,ADSB.AD,EQ,
ADNOC Logistics & Services plc,Transportation,ADNOCLS.AD,EQ,
Salik Company PJSC,Transportation,SALIK.DU,EQ,
Talabat Holding Plc,Transportation,TALABAT.DU,EQ,
Abu Dhabi Ports Company PJSC,Transportation,ADPORTS.AD,EQ,
Air Arabia PJSC,Transportation,AIRARABI.AD,EQ,
Agility Global PLC,Transportation,AGILITY.KW,EQ,
Gulf Navigation Holding PJSC,Transportation,GULFNAV.DU,EQ,
Abu Dhabi Aviation Co.,Transportation,ADAVIATION.AD,EQ,
Dubai Taxi Co. PJSC,Transportation,DTC.DU,EQ,
Agility Public Warehousing Co.,Transportation,MKHZN.KW,EQ,
Aramex PJSC,Transportation,ARMX.DU,EQ,
Borouge PLC,Materials,BOROUGE.AD,EQ,
Fertiglobe plc,Materials,FERTIGLB.AD,EQ,
Dubai Investment PJSC,Materials,DIC.DU,EQ,
Apex Investment PJSC,Materials,APEX.AD,EQ,
Emirates Steel ARKAN Building Materials PJSC,Materials,EMSTEEL.AD,EQ,
Abu Dhabi National Co. for Building Materials,Materials,BILDCO.AD,EQ,
National Cement Company PSC,Materials,NCC.AD,EQ,
Sharjah Cement and Industrial Development Co.,Materials,SCIDC.DU,EQ,
RAK Co. for White Cement & Construction Materials,Materials,RAKWCT.AD,EQ,
Fujairah Building Industries PSC,Materials,FBI.AD,EQ,
Gulf Cement Co.,Materials,GCEM.AD,EQ,
Fujairah Cement Industries,Materials,FCI.AD,EQ,
RAPCO Investment PJSC,Materials,RAPCO.AD,EQ,
Agthia Group PJSC,Consumer Staples,AGTHIA.AD,EQ,
Abu Dhabi National Oil Company For Distribution,Consumer Staples,ADNOCDIST.AD,EQ,
Dubai Refreshment Company PJSC,Consumer Staples,DRC.DU,EQ,
United Foods Co. PSC,Consumer Staples,UFC.AD,EQ,
Unikai Foods PJSC,Consumer Staples,UNIKAI.AD,EQ,
Ghitha Holding PJSC,Consumer Staples,GHITHA.AD,EQ,
Invictus Investment Company PLC,Consumer Staples,INVICTUS.AD,EQ,
Foodco National Foodstuff PJSC,Consumer Staples,FNF.AD,EQ,
Oman & Emirates Investment Holding Co.,Consumer Staples,OEIHC.AD,EQ,
Lulu Retail Holdings PLC,Consumer Discretionary,LULU.AD,EQ,
Spinneys 1961 Holding plc,Consumer Discretionary,SPINNEYS.AD,EQ,
Union Coop,Consumer Discretionary,UNIONCOOP.DU,EQ,
Parkin Co. PJSC,Consumer Discretionary,PARKIN.DU,EQ,
Americana Restaurants International PLC,Consumer Discretionary,AMR.AD,EQ,
Alef Education Holding plc,Consumer Discretionary,ALEFEDT.AD,EQ,
Abu Dhabi National Hotels Co.,Consumer Discretionary,ADNH.AD,EQ,
Emirates Mobility Company PJSC,Consumer Discretionary,EMOBILITY.AD,EQ,
National Corporation for Tourism & Hotels,Consumer Discretionary,NCTH.AD,EQ,
Taaleem Holdings PJSC,Consumer Discretionary,TAALEEM.AD,EQ,
ADNH Catering plc,Consumer Discretionary,ADNHC.AD,EQ,
Palms Sports PrJSC,Consumer Discretionary,PALMS.AD,EQ,
Easy Lease Motorcycle Rental PJSC,Consumer Discretionary,EASYLEASE.AD,EQ,
Al Firdous Holdings PJSC,Consumer Discretionary,ALFIRDOUS.AD,EQ,
Al Seer Marine Supplies & Equipment Company PJSC,Consumer Discretionary,ASM.AD,EQ,
ALEC Holdings PJSC,Consumer Discretionary,ALEC.DU,EQ,
Presight AI Holding PLC,Technology,PRESIGHT.AD,EQ,
SPACE42 PLC,Technology,SPACE42.AD,EQ,
Alpha Data PJSC,Technology,ALPHADATA.AD,EQ,
Pure Health Holding PJSC,Health Care,PUREHEALTH.AD,EQ,
Burjeel Holdings PLC,Health Care,BURJEEL.AD,EQ,
Gulf Medical Projects Company PJSC,Health Care,GMPC.AD,EQ,
Response Plus Holding PrJSC,Health Care,RPM.AD,EQ,
Gulf Pharmaceutical Industries (Julphar),Health Care,JULPHAR.AD,EQ,
Hikma Pharmaceuticals Plc,Health Care,HIK.AD,EQ,
International Holding Company PJSC,Financials,IHC.AD,EQ,
First Abu Dhabi Bank PJSC,Financials,FAB.AD,EQ,
Emirates NBD Bank PJSC,Financials,EMIRATESNBD.DU,EQ,
Abu Dhabi Commercial Bank PJSC,Financials,ADCB.AD,EQ,
Emaar Properties PJSC,Real Estate,EMAAR.DU,EQ,
Abu Dhabi Islamic Bank PJSC,Financials,ADIB.AD,EQ,
Aldar Properties PJSC,Real Estate,ALDAR.AD,EQ,
Emaar Development PJSC,Real Estate,EMAARDEV.DU,EQ,
Dubai Islamic Bank PJSC,Financials,DIB.DU,EQ,
Mashreqbank PSC,Financials,MASQ.DU,EQ,
Modon Holding PSC,Real Estate,MODON.AD,EQ,
Commercial Bank of Dubai PSC,Financials,CBD.DU,EQ,
The National Bank of Ras Al Khaimah (RAKBANK),Financials,RAKBANK.AD,EQ,
TECOM Group PJSC,Real Estate,TECOM.DU,EQ,
Dubai Residential REIT,Real Estate,DUBAIRESD.DU,EQ,
Sharjah Islamic Bank PJSC,Financials,SIB.DU,EQ,
Dubai Financial Market PJSC,Financials,DFM.DU,EQ,
Invest Bank PJSC,Financials,INB.DU,EQ,
GFH Bank B.S.C.,Financials,GFH.DU,EQ,
Al Salam Bank B.S.C.,Financials,SALAMA.AD,EQ,
National Bank of Umm Al Qaiwain,Financials,NBQ.AD,EQ,
United Arab Bank PJSC,Financials,UAB.DU,EQ,
ANAN Investment Holding PJSC,Financials,ANAN.DU,EQ,
Abu Dhabi National Insurance Company PJSC,Financials,ADNIC.AD,EQ,
Phoenix Group PLC,Financials,PHX.DU,EQ,
Ajman Bank PJSC,Financials,AJMANBANK.DU,EQ,
Waha Capital Company PJSC,Financials,WAHA.AD,EQ,
Deyaar Development PJSC,Real Estate,DEYAAR.DU,EQ,
Amanat Holdings PJSC,Financials,AMANAT.DU,EQ,
Investcorp Capital PLC,Financials,ICAP.AD,EQ,
Union Properties PJSC,Real Estate,UPP.DU,EQ,
RAK Properties PJSC,Real Estate,RAKPROP.AD,EQ,
Bank of Sharjah PJSC,Financials,BOS.AD,EQ,
MAIR Group PJSC,Financials,MAIR.AD,EQ,
Sukoon Insurance PJSC,Financials,SUKOON.AD,EQ,
Amlak Finance PJSC,Financials,AMLAK.DU,EQ,
E7 Group PJSC,Financials,E7.AD,EQ,
Dubai Insurance Company PSC,Financials,DIN.DU,EQ,
Eshraq Investments PJSC,Real Estate,ESHRAQ.DU,EQ,
Emirates Insurance Co. PSC,Financials,EIC.DU,EQ,
National General Insurance Co. PJSC,Financials,NGI.DU,EQ,
Al Ramz Corporation Investment & Development PJSC,Financials,ALRAMZ.AD,EQ,
Manazel PJSC,Real Estate,MANAZEL.DU,EQ,
Al Mal Capital REIT,Real Estate,AMCREIT.DU,EQ,
Shuaa Capital PSC,Financials,SHUAA.DU,EQ,
Emirates Investment Bank PJSC,Financials,EIBANK.AD,EQ,
Al Khaleej Investment PJSC,Financials,KICO.AD,EQ,
Al Buhaira National Insurance Company,Financials,ABNIC.AD,EQ,
Islamic Arab Insurance Co. (Salama),Financials,SALAMI.DU,EQ,
BHM Capital Financial Services PSC,Financials,BHMCAPITAL.DU,EQ,
Emirates REIT (CEIC) PLC,Real Estate,REIT.DU,EQ,
Ithmaar Holding BSC,Financials,ITHMR.BH,EQ,
Umm Al Qaiwain General Investment Co. PSC,Financials,QIC.AD,EQ,
Abu Dhabi National Takaful Co.,Financials,TKFL.AD,EQ,
Al-Mazaya Holding Co. SAKC,Real Estate,MAZAYA.KW,EQ,
ENBD REIT (CEIC) PLC,Real Estate,ENBDREIT.DU,EQ,
Dubai National Insurance & Reinsurance Co. PSC,Financials,DNIR.DU,EQ,
Orient Insurance PJSC,Financials,ORIENT.DU,EQ,
Union Insurance Company PJSC,Financials,UNION.DU,EQ,
Takaful Emarat Insurance PSC,Financials,TAKAFUL-EM.DU,EQ,
Hayah Insurance Company PJSC,Financials,HAYAH.DU,EQ,
Hily Holding PJSC,Financials,HH.DU,EQ,
