Code,Company,Sector,Market Capitalisation (A$),Headquarters
360,Life360,Information Technology,3420074734,"San Mateo, United States"
4DX,4DMedical,Healthcare,3318719295,Melbourne
A2M,a2 Milk Company,Consumer Staples,6811751962,"Auckland, New Zealand"
AAI,Alcoa,Materials,3915655069,"Pittsburgh, United States"
AFI,Australian Foundation Investment Company,Financials,8219797877,Melbourne
AGL,AGL Energy,Utilities,6673652551,Sydney
AIA,Auckland International Airport Limited,Industrials,11372720565,"Auckland, New Zealand"
ALD,Ampol,Energy,7928310834,Sydney
ALK,Alkane Resources,Materials,2035645183,Perth
ALL,Aristocrat Leisure,Consumer Discretionary,27997036412,Sydney
ALQ,ALS,Industrials,10633016485,Brisbane
ALX,Atlas Arteria,Industrials,6152364419,"Bermuda, United Kingdom"
AMC,Amcor,Materials,8401093541,"Warmley, United Kingdom"
AMP,AMP,Financials,3253285693,Sydney
ANN,Ansell,Healthcare,4074959389,Melbourne
ANZ,Australia & New Zealand Banking Group,Financials,110410102996,Melbourne
APA,APA Group,Utilities,13052188932,Sydney
APE,Eagers Automotive,Consumer Discretionary,6689211167,Brisbane
ARB,ARB Corporation,Consumer Discretionary,1675785496,Melbourne
ARG,Argo Investments,Financials,6457586317,Adelaide
ASB,Austal,Industrials,1907666999,Perth
ASK,Abacus Storage King,Real Estate,1754327454,Sydney
ASX,ASX,Financials,10311777732,Sydney
AUB,AUB Group,Financials,3124921167,Sydney
AZJ,Aurizon,Industrials,6834227569,Brisbane
BEN,Bendigo & Adelaide Bank,Financials,5860403299,Bendigo
BFL,BSP Financial Group,Financials,3714398833,"Port Moresby, Papua New Guinea"
BGA,Bega Cheese,Consumer Staples,1838371924,Bega
BGL,Bellevue Gold,Materials,2280703096,Perth
BHP,BHP,Materials,260319697098,Melbourne
BOQ,Bank of Queensland,Financials,4497992294,Brisbane
BPT,Beach Energy,Energy,2977140421,Adelaide
BRG,Breville Group,Consumer Discretionary,3893260520,Sydney
BSL,BlueScope,Materials,11420678626,Melbourne
BWP,BWP Trust,Real Estate,2630779541,Perth
BXB,Brambles,Industrials,30843257058,Sydney
CAR,CAR Group,Communication Services,8530972785,Melbourne
CBA,Commonwealth Bank,Financials,289174295462,Sydney
CDA,Codan,Information Technology,5823647746,Adelaide
CEN,Contact Energy,Utilities,4101812576,"Wellington, New Zealand"
CGF,Challenger,Financials,5713123833,Sydney
CHC,Charter Hall,Real Estate,8774098041,Sydney
CIA,Champion Iron,Materials,2836895325,Sydney
CIP,Centuria Industrial REIT,Real Estate,1791993764,Sydney
CLW,Charter Hall Long WALE REIT,Real Estate,2397585687,Sydney
CMM,Capricorn Metals,Materials,4997040137,Perth
CNU,Chorus,Communication Services,3392998639,"Wellington, New Zealand"
COH,Cochlear,Healthcare,11272116657,Sydney
COL,Coles Group,Consumer Staples,30381905088,Melbourne
CPU,Computershare,Information Technology,16385705693,Melbourne
CQR,Charter Hall Retail REIT,Real Estate,2138924961,Sydney
CSC,Capstone Copper,Materials,1918441217,"Vancouver, Canada"
CSL,CSL,Healthcare,67425362418,Melbourne
CTD,Corporate Travel Management,Consumer Discretionary,2351454738,Brisbane
CWY,Cleanaway,Industrials,5174674975,Melbourne
CYL,Catalyst Metals,Materials,1596983449,Perth
DBI,Dalrymple Bay Infrastructure,Industrials,2488723568,Brisbane
DNL,Dyno Nobel,Materials,5638642963,Brisbane
DOW,Downer Group,Industrials,5142022791,Sydney
DRO,Droneshield,Industrials,3627203981,Sydney
DRR,Deterra Royalties,Materials,2133709719,Perth
DXS,Dexus,Real Estate,6263925390,Sydney
DYL,Deep Yellow,Energy,1746201181,Perth
EBO,EBOS Group,Healthcare,3975010981,"Christchurch, New Zealand"
EDV,Endeavour Group,Consumer Staples,5746322154,Sydney
