Symbol,Company,GICS,Sector,Headquarters
ALL,Aristocrat Leisure,25,Consumer Discretionary,Sydney
AMC,Amcor,15,Materials,"Warmley, Bristol, England"
ANZ,ANZ Bank,40,Financials,Melbourne
BHP,BHP,15,Materials,Melbourne
BXB,Brambles,20,Industrials,Sydney
CAR,CAR Group,50,Communication Services,Sydney
CBA,Commonwealth Bank,40,Financials,Sydney
COH,Cochlear,35,Health Care,Sydney
COL,Coles Group,30,Consumer Staples,Melbourne
CPU,Computershare,45,Information Technology,Adelaide
CSL,CSL,35,Health Care,Melbourne
EVN,Evolution Mining,15,Materials,Sydney
FMG,Fortescue,15,Materials,Perth
FPH,Fisher & Paykel Healthcare,35,Health Care,Auckland
GMG,Goodman Group,60,Real Estate,Sydney
IAG,Insurance Australia Group,40,Financials,Sydney
JBH,JB Hi-Fi,25,Consumer Discretionary,Melbourne
JHX,James Hardie,15,Materials,Melbourne
LYC,Lynas,15,Materials,Perth
MPL,Medibank,40,Financials,Melbourne
MQG,Macquarie Group,40,Financials,Sydney
NAB,National Australia Bank,40,Financials,Melbourne
NEM,Newmont,15,Materials,"Greenwood Village, Colorado"
NST,Northern Star Resources,15,Materials,Perth
NWS,News Corp,50,Communication Services,Sydney
ORG,Origin Energy,55,Utilities,Sydney
PME,Pro Medicus,35,Health Care,Melbourne
QAN,Qantas,20,Industrials,Sydney
QBE,QBE Insurance,40,Financials,Sydney
REA,REA Group,50,Communication Services,Melbourne
RIO,Rio Tinto,15,Materials,Melbourne / London
RMD,ResMed,35,Health Care,San Diego
S32,South32,15,Materials,Perth
SCG,Scentre Group,60,Real Estate,Sydney
SGH,Seven Group Holdings,20,Industrials,Sydney
SGP,Stockland,60,Real Estate,Sydney
SIG,Sigma Healthcare,35,Health Care,Melbourne
SOL,Soul Patts,40,Financials,Sydney
STO,Santos,10,Energy,Adelaide
SUN,Suncorp,40,Financials,Brisbane
TCL,Transurban,20,Industrials,Melbourne
TLS,Telstra,50,Communication Services,Melbourne
VAS,Vanguard Australian Shares,40,Financials,Melbourne
WBC,Westpac,40,Financials,Sydney
WES,Wesfarmers,25,Consumer Discretionary,Perth
WDS,Woodside Energy,10,Energy,Perth
WOW,Woolworths,30,Consumer Staples,Sydney
XRO,Xero,45,Information Technology,Wellington
XYZ,Block,40,Financials,Sydney
