Company Name,Industry,Symbol,Series,ISIN Code
Vocus Group Limited,Communications,VOC.AX,EQ,
Telstra Group Limited,Communications,TLS.AX,EQ,
Beach Energy Limited,Energy,BPT.AX,EQ,
Santos Ltd,Energy,STO.AX,EQ,
Woodside Energy Group Ltd,Energy,WDS.AX,EQ,
Commonwealth Bank of Australia,Financials,CBA.AX,EQ,
National Australia Bank Ltd,Financials,NAB.AX,EQ,
Westpac Banking Corporation,Financials,WBC.AX,EQ,
Australia and New Zealand Banking Group Ltd,Financials,ANZ.AX,EQ,
Macquarie Group Ltd,Financials,MQG.AX,EQ,
QBE Insurance Group Ltd,Financials,QBE.AX,EQ,
Insurance Australia Group Ltd,Financials,IAG.AX,EQ,
ASX Ltd,Financials,ASX.AX,EQ,
Computershare Ltd,Financials,CPU.AX,EQ,
Medibank Private Ltd,Financials,MPL.AX,EQ,
NIB Holdings Ltd,Financials,NHF.AX,EQ,
Goodman Group,Financials,GMG.AX,EQ,
Suncorp Group Ltd,Financials,SUN.AX,EQ,
CSL Limited,Health Technology,CSL.AX,EQ,
Mesoblast Limited,Health Technology,MSB.AX,EQ,
EBOS Group Limited,Health Technology,EBO.AX,EQ,
Telix Pharmaceuticals Limited,Health Technology,TLX.AX,EQ,
Cochlear Limited,Health Technology,COH.AX,EQ,
Fisher & Paykel Healthcare Corporation Limited,Health Technology,FPH.AX,EQ,
Sigma Healthcare Ltd,Health Technology,SIG.AX,EQ,
ResMed Inc,Health Technology,RMD.AX,EQ,
PYC Therapeutics Limited,Health Technology,PYC.AX,EQ,
Polynovo Limited,Health Technology,PNV.AX,EQ,
Nanosonics Limited,Health Technology,NAN.AX,EQ,
Clarity Pharmaceuticals Ltd,Health Technology,CU6.AX,EQ,
Imricor Medical Systems Inc,Health Technology,IMR.AX,EQ,
Racura Oncology Ltd,Health Technology,RAC.AX,EQ,
Clinuvel Pharmaceuticals Limited,Health Technology,CUV.AX,EQ,
AFT Pharmaceuticals Ltd,Health Technology,AFP.AX,EQ,
Tetratherix Limited,Health Technology,TTX.AX,EQ,
EBR Systems Inc,Health Technology,EBR.AX,EQ,
Anteris Technologies Global Corp,Health Technology,AVR.AX,EQ,
Neuren Pharmaceuticals Limited,Health Technology,NEU.AX,EQ,
BHP Group Ltd,Non-Energy Minerals,BHP.AX,EQ,
Regis Resources Limited,Non-Energy Minerals,RRL.AX,EQ,
Evolution Mining Limited,Non-Energy Minerals,EVN.AX,EQ,
Northern Star Resources Ltd,Non-Energy Minerals,NST.AX,EQ,
Fortescue Ltd,Non-Energy Minerals,FMG.AX,EQ,
Westgold Resources Ltd,Non-Energy Minerals,WGX.AX,EQ,
Newmont Corporation,Non-Energy Minerals,NEM.AX,EQ,
Alcoa Corporation,Non-Energy Minerals,AAI.AX,EQ,
PLS Group Limited,Non-Energy Minerals,PLS.AX,EQ,
Lynas Rare Earths Limited,Non-Energy Minerals,LYC.AX,EQ,
South32 Ltd,Non-Energy Minerals,S32.AX,EQ,
James Hardie Industries,Non-Energy Minerals,JHX.AX,EQ,
NexGen Energy Ltd,Non-Energy Minerals,NXG.AX,EQ,
DPM Metals Inc,Non-Energy Minerals,DPM.AX,EQ,
Mineral Resources Limited,Non-Energy Minerals,MIN.AX,EQ,
Capstone Copper Corp,Non-Energy Minerals,CSC.AX,EQ,
Capricorn Metals Ltd,Non-Energy Minerals,CMM.AX,EQ,
Paladin Energy Ltd,Non-Energy Minerals,PDN.AX,EQ,
Rio Tinto Limited,Non-Energy Minerals,RIO.AX,EQ,
Greatland Resources Limited,Non-Energy Minerals,GGP.AX,EQ,
Ramelius Resources Limited,Non-Energy Minerals,RMS.AX,EQ,
Genesis Minerals Limited,Non-Energy Minerals,GMD.AX,EQ,
IGO Limited,Non-Energy Minerals,IGO.AX,EQ,
Perseus Mining Limited,Non-Energy Minerals,PRU.AX,EQ,
Sandfire Resources Ltd,Non-Energy Minerals,SFR.AX,EQ,
Almonty Industries Inc,Non-Energy Minerals,AII.AX,EQ,
Liontown Limited,Non-Energy Minerals,LTR.AX,EQ,
PT ANTAM (Persero) Tbk,Non-Energy Minerals,ATM.AX,EQ,
Autoliv Inc,Retail,ALQ.AX,EQ,
Metcash Limited,Retail,MTS.AX,EQ,
Woolworths Group Ltd,Retail,WOW.AX,EQ,
Wesfarmers Limited,Retail,WES.AX,EQ,
SiteMinder Limited,Technology,SDR.AX,EQ,
IRESS Limited,Technology,IRE.AX,EQ,
WiseTech Global Ltd,Technology,WTC.AX,EQ,
Elsight Ltd,Technology,ELS.AX,EQ,
4DMedical Ltd,Technology,4DX.AX,EQ,
Megaport Ltd,Technology,MP1.AX,EQ,
Seek Limited,Technology,SEK.AX,EQ,
Life360 Inc,Technology,360.AX,EQ,
HUB24 Limited,Technology,HUB.AX,EQ,
CAR Group Limited,Technology,CAR.AX,EQ,
Technology One Limited,Technology,TNE.AX,EQ,
NextDC Limited,Technology,NXT.AX,EQ,
Xero Limited,Technology,XRO.AX,EQ,
Data#3 Limited,Technology,DTL.AX,EQ,
Transurban Group Ltd,Transportation,TCL.AX,EQ,
APA Group,Transportation,APA.AX,EQ,
