Company Name,Industry,Symbol,Series,ISIN Code
Aussie Broadband Limited,Communication Services,ABB.AX,EQ,
CAR Group,Communication Services,CAR.AX,EQ,
Chorus,Communication Services,CNU.AX,EQ,
EVT,Communication Services,EVT.AX,EQ,
Macquarie Technology Group Limited,Communication Services,MAQ.AX,EQ,
News Corp Class B,Communication Services,NWS.AX,EQ,
Nine Entertainment,Communication Services,NEC.AX,EQ,
REA Group,Communication Services,REA.AX,EQ,
Seek,Communication Services,SEK.AX,EQ,
Spark New Zealand,Communication Services,SPK.AX,EQ,
TPG Telecom,Communication Services,TPG.AX,EQ,
Telstra,Communication Services,TLS.AX,EQ,
Tuas,Communication Services,TUA.AX,EQ,
ARB Corporation,Consumer Discretionary,ARB.AX,EQ,
Ainsworth Game Technology Limited,Consumer Discretionary,AGI.AX,EQ,
Amotiv Limited,Consumer Discretionary,AOV.AX,EQ,
Aristocrat Leisure,Consumer Discretionary,ALL.AX,EQ,
Autosports Group Limited,Consumer Discretionary,ASG.AX,EQ,
Breville Group,Consumer Discretionary,BRG.AX,EQ,
Briscoe Group Limited,Consumer Discretionary,BGP.AX,EQ,
Collins Foods Limited,Consumer Discretionary,CKF.AX,EQ,
Corporate Travel Management,Consumer Discretionary,CTD.AX,EQ,
Dicker Data Limited,Consumer Discretionary,DDR.AX,EQ,
Domino's Pizza Enterprises,Consumer Discretionary,DMP.AX,EQ,
Eagers Automotive,Consumer Discretionary,APE.AX,EQ,
Flight Centre Travel Group,Consumer Discretionary,FLT.AX,EQ,
GWA Group Limited,Consumer Discretionary,GWA.AX,EQ,
Guzman y Gomez (Holdings) Ltd,Consumer Discretionary,GYG.AX,EQ,
Harvey Norman,Consumer Discretionary,HVN.AX,EQ,
IDP Education Limited,Consumer Discretionary,IEL.AX,EQ,
JB Hi-Fi,Consumer Discretionary,JBH.AX,EQ,
Jumbo Interactive Limited,Consumer Discretionary,JIN.AX,EQ,
Kelsian Group Limited,Consumer Discretionary,KLS.AX,EQ,
Kogan.com,Consumer Discretionary,KGN.AX,EQ,
Lifestyle Communities Limited,Consumer Discretionary,LIC.AX,EQ,
Light & Wonder,Consumer Discretionary,LNW.AX,EQ,
Lovisa,Consumer Discretionary,LOV.AX,EQ,
Mader Group Limited,Consumer Discretionary,MAD.AX,EQ,
Myer Holdings,Consumer Discretionary,MYR.AX,EQ,
Nick Scali,Consumer Discretionary,NCK.AX,EQ,
PointsBet Holdings Limited,Consumer Discretionary,PBH.AX,EQ,
Premier Investments,Consumer Discretionary,PMV.AX,EQ,
Propel Funeral Partners Limited,Consumer Discretionary,PFP.AX,EQ,
SKY Network Television Limited,Consumer Discretionary,SKT.AX,EQ,
SkyCity Entertainment Group Limited,Consumer Discretionary,SKC.AX,EQ,
Smart Parking Limited,Consumer Discretionary,SPZ.AX,EQ,
Southern Cross Media Group Limited,Consumer Discretionary,SXL.AX,EQ,
Super Retail Group,Consumer Discretionary,SUL.AX,EQ,
Tabcorp,Consumer Discretionary,TAH.AX,EQ,
Temple & Webster Group Ltd,Consumer Discretionary,TPW.AX,EQ,
The Lottery Corporation,Consumer Discretionary,TLC.AX,EQ,
The Star Entertainment Group Limited,Consumer Discretionary,SGR.AX,EQ,
Universal Store Holdings Limited,Consumer Discretionary,UNI.AX,EQ,
Webjet,Consumer Discretionary,WEB.AX,EQ,
Wesfarmers,Consumer Discretionary,WES.AX,EQ,
Australian Agricultural Company Limited,Consumer Staples,AAC.AX,EQ,
Bega Cheese,Consumer Staples,BGA.AX,EQ,
Coles Group,Consumer Staples,COL.AX,EQ,
Endeavour Group,Consumer Staples,EDV.AX,EQ,
Ma2 Milk Company Limited,Consumer Staples,MAIC.AX,EQ,
Metcash,Consumer Staples,MTS.AX,EQ,
Treasury Wine Estates,Consumer Staples,TWE.AX,EQ,
Woolworths Group,Consumer Staples,WOW.AX,EQ,
Amplitude Energy Limited,Energy,AEL.AX,EQ,
Ampol,Energy,ALD.AX,EQ,
Beach Energy,Energy,BPT.AX,EQ,
Beetaloo Energy Australia Limited,Energy,BTL.AX,EQ,
Channel Infrastructure NZ Limited,Energy,CHI.AX,EQ,
Deep Yellow,Energy,DYL.AX,EQ,
GreenX Metals Limited,Energy,GRX.AX,EQ,
Horizon Oil Limited,Energy,HZN.AX,EQ,
Karoon Energy,Energy,KAR.AX,EQ,
Macmahon Holdings Limited,Energy,MAH.AX,EQ,
New Hope,Energy,NHC.AX,EQ,
Nexgen Energy,Energy,NXG.AX,EQ,
Omega Oil & Gas Limited,Energy,OMA.AX,EQ,
Paladin Energy,Energy,PDN.AX,EQ,
Santos,Energy,STO.AX,EQ,
Strike Energy Limited,Energy,STX.AX,EQ,
Tamboran Resources Corporation,Energy,TBN.AX,EQ,
Viva Energy,Energy,VEA.AX,EQ,
