Company Name,Industry,Symbol,Series,ISIN Code
Commonwealth Bank of Australia,Financials,CBA.AX,EQ,
National Australia Bank Ltd,Financials,NAB.AX,EQ,
Westpac Banking Corporation,Financials,WBC.AX,EQ,
Australia and New Zealand Banking Group Ltd,Financials,ANZ.AX,EQ,
Macquarie Group Ltd,Financials,MQG.AX,EQ,
Insurance Australia Group Ltd,Financials,IAG.AX,EQ,
QBE Insurance Group Ltd,Financials,QBE.AX,EQ,
Suncorp Group Ltd,Financials,SUN.AX,EQ,
ASX Ltd,Financials,ASX.AX,EQ,
Challenger Ltd,Financials,CGF.AX,EQ,
AMP Ltd,Financials,AMP.AX,EQ,
Bendigo and Adelaide Bank Ltd,Financials,BEN.AX,EQ,
Bank of Queensland Ltd,Financials,BOQ.AX,EQ,
Computershare Ltd,Financials,CPU.AX,EQ,
Medibank Private Ltd,Financials,MPL.AX,EQ,
Steadfast Group Ltd,Financials,SDF.AX,EQ,
Nib Holdings Ltd,Financials,NHF.AX,EQ,
Pinnacle Investment Management Group Ltd,Financials,PNI.AX,EQ,
Netwealth Group Ltd,Financials,NWL.AX,EQ,
Hub24 Ltd,Financials,HUB.AX,EQ,
BHP Group Ltd,Materials,BHP.AX,EQ,
Rio Tinto Ltd,Materials,RIO.AX,EQ,
Fortescue Ltd,Materials,FMG.AX,EQ,
South32 Ltd,Materials,S32.AX,EQ,
Northern Star Resources Ltd,Materials,NST.AX,EQ,
Evolution Mining Ltd,Materials,EVN.AX,EQ,
Mineral Resources Ltd,Materials,MIN.AX,EQ,
Orica Ltd,Materials,ORI.AX,EQ,
James Hardie Industries plc,Materials,JHX.AX,EQ,
Amcor plc,Materials,AMC.AX,EQ,
Lynas Rare Earths Ltd,Materials,LYC.AX,EQ,
Iluka Resources Ltd,Materials,ILU.AX,EQ,
IGO Ltd,Materials,IGO.AX,EQ,
Bluescope Steel Ltd,Materials,BSL.AX,EQ,
Sims Ltd,Materials,SGM.AX,EQ,
Brickworks Ltd,Materials,BKW.AX,EQ,
Orora Ltd,Materials,ORA.AX,EQ,
Alumina Ltd,Materials,AWC.AX,EQ,
Incitec Pivot Ltd,Materials,IPL.AX,EQ,
Pilbara Minerals Ltd,Materials,PLS.AX,EQ,
De Grey Mining Ltd,Materials,DEG.AX,EQ,
Champion Iron Ltd,Materials,CIA.AX,EQ,
Beach Energy Ltd,Materials,BPT.AX,EQ,
CSL Ltd,Health Care,CSL.AX,EQ,
Cochlear Ltd,Health Care,COH.AX,EQ,
ResMed Inc,Health Care,RMD.AX,EQ,
Ramsay Health Care Ltd,Health Care,RHC.AX,EQ,
Sonic Healthcare Ltd,Health Care,SHL.AX,EQ,
Healius Ltd,Health Care,HLS.AX,EQ,
Pro Medicus Ltd,Health Care,PME.AX,EQ,
PolyNovo Ltd,Health Care,PNV.AX,EQ,
Nufarm Ltd,Health Care,NUF.AX,EQ,
Ansell Ltd,Health Care,ANN.AX,EQ,
Goodman Group,Real Estate,GMG.AX,EQ,
Scentre Group,Real Estate,SCG.AX,EQ,
Dexus,Real Estate,DXS.AX,EQ,
GPT Group,Real Estate,GPT.AX,EQ,
Stockland,Real Estate,SGP.AX,EQ,
Mirvac Group,Real Estate,MGR.AX,EQ,
Charter Hall Group,Real Estate,CHC.AX,EQ,
Vicinity Centres,Real Estate,VCX.AX,EQ,
National Storage REIT,Real Estate,NSR.AX,EQ,
Charter Hall Long Wale REIT,Real Estate,CLW.AX,EQ,
Growthpoint Properties Australia,Real Estate,GOZ.AX,EQ,
BWP Trust,Real Estate,BWP.AX,EQ,
Lendlease Group,Real Estate,LLC.AX,EQ,
JB Hi-Fi Ltd,Consumer Discretionary,JBH.AX,EQ,
Wesfarmers Ltd,Consumer Discretionary,WES.AX,EQ,
Harvey Norman Holdings Ltd,Consumer Discretionary,HVN.AX,EQ,
Aristocrat Leisure Ltd,Consumer Discretionary,ALL.AX,EQ,
Domino's Pizza Enterprises Ltd,Consumer Discretionary,DMP.AX,EQ,
Flight Centre Travel Group Ltd,Consumer Discretionary,FLT.AX,EQ,
Premier Investments Ltd,Consumer Discretionary,PMV.AX,EQ,
Webjet Ltd,Consumer Discretionary,WEB.AX,EQ,
Super Retail Group Ltd,Consumer Discretionary,SUL.AX,EQ,
Eagers Automotive Ltd,Consumer Discretionary,APE.AX,EQ,
REA Group Ltd,Consumer Discretionary,REA.AX,EQ,
Bapcor Ltd,Consumer Discretionary,BAP.AX,EQ,
Breville Group Ltd,Consumer Discretionary,BRG.AX,EQ,
Reece Ltd,Consumer Discretionary,REH.AX,EQ,
ARB Corporation Ltd,Consumer Discretionary,ARB.AX,EQ,
Woolworths Group Ltd,Consumer Staples,WOW.AX,EQ,
Coles Group Ltd,Consumer Staples,COL.AX,EQ,
Treasury Wine Estates Ltd,Consumer Staples,TWE.AX,EQ,
A2 Milk Company Ltd,Consumer Staples,A2M.AX,EQ,
Metcash Ltd,Consumer Staples,MTS.AX,EQ,
Coca-Cola Amatil Ltd,Consumer Staples,CCL.AX,EQ,
Elders Ltd,Consumer Staples,ELD.AX,EQ,
Bega Cheese Ltd,Consumer Staples,BGA.AX,EQ,
Woodside Energy Group Ltd,Energy,WDS.AX,EQ,
Santos Ltd,Energy,STO.AX,EQ,
Origin Energy Ltd,Energy,ORG.AX,EQ,
Ampol Ltd,Energy,ALD.AX,EQ,
Viva Energy Group Ltd,Energy,VEA.AX,EQ,
Karoon Energy Ltd,Energy,KAR.AX,EQ,
Yancoal Australia Ltd,Energy,YAL.AX,EQ,
Transurban Group,Industrials,TCL.AX,EQ,
Sydney Airport Holdings Pty Ltd,Industrials,SYD.AX,EQ,
Brambles Ltd,Industrials,BXB.AX,EQ,
CIMIC Group Ltd,Industrials,CIM.AX,EQ,
Aurizon Holdings Ltd,Industrials,AZJ.AX,EQ,
Worley Ltd,Industrials,WOR.AX,EQ,
Downer EDI Ltd,Industrials,DOW.AX,EQ,
Qantas Airways Ltd,Industrials,QAN.AX,EQ,
Seven Group Holdings Ltd,Industrials,SVW.AX,EQ,
Cleanaway Waste Management Ltd,Industrials,CWY.AX,EQ,
Qube Holdings Ltd,Industrials,QUB.AX,EQ,
Atlas Arteria,Industrials,ALX.AX,EQ,
WiseTech Global Ltd,Technology,WTC.AX,EQ,
Xero Ltd,Technology,XRO.AX,EQ,
Technology One Ltd,Technology,TNE.AX,EQ,
NEXTDC Ltd,Technology,NXT.AX,EQ,
Megaport Ltd,Technology,MP1.AX,EQ,
Seek Ltd,Technology,SEK.AX,EQ,
Car Group Ltd,Technology,CAR.AX,EQ,
Life360 Inc.,Technology,360.AX,EQ,
Domain Holdings Australia Ltd,Technology,DHG.AX,EQ,
Altium Ltd,Technology,ALU.AX,EQ,
Telstra Corporation Ltd,Communication Services,TLS.AX,EQ,
