Company Name,Industry,Symbol,Series,ISIN Code
Aussie Broadband Limited,Communication Services,ABB.AX,EQ,
CAR Group,Communication Services,CAR.AX,EQ,
Chorus,Communication Services,CNU.AX,EQ,
EVT,Communication Services,EVT.AX,EQ,
Macquarie Technology Group Limited,Communication Services,MAQ.AX,EQ,
News Corp Class B,Communication Services,NWS.AX,EQ,
Nine Entertainment,Communication Services,NEC.AX,EQ,
REA Group,Communication Services,REA.AX,EQ,
Seek,Communication Services,SEK.AX,EQ,
Spark New Zealand,Communication Services,SPK.AX,EQ,
TPG Telecom,Communication Services,TPG.AX,EQ,
Telstra,Communication Services,TLS.AX,EQ,
Tuas,Communication Services,TUA.AX,EQ,
