Company Name,Industry,Symbol,Series,ISIN Code
ARB Corporation,Consumer Discretionary,ARB.AX,EQ,
Ainsworth Game Technology Limited,Consumer Discretionary,AGI.AX,EQ,
Amotiv Limited,Consumer Discretionary,AOV.AX,EQ,
Aristocrat Leisure,Consumer Discretionary,ALL.AX,EQ,
Autosports Group Limited,Consumer Discretionary,ASG.AX,EQ,
Breville Group,Consumer Discretionary,BRG.AX,EQ,
Briscoe Group Limited,Consumer Discretionary,BGP.AX,EQ,
Collins Foods Limited,Consumer Discretionary,CKF.AX,EQ,
Corporate Travel Management,Consumer Discretionary,CTD.AX,EQ,
Dicker Data Limited,Consumer Discretionary,DDR.AX,EQ,
Domino's Pizza Enterprises,Consumer Discretionary,DMP.AX,EQ,
Eagers Automotive,Consumer Discretionary,APE.AX,EQ,
Flight Centre Travel Group,Consumer Discretionary,FLT.AX,EQ,
GWA Group Limited,Consumer Discretionary,GWA.AX,EQ,
Guzman y Gomez (Holdings) Ltd,Consumer Discretionary,GYG.AX,EQ,
Harvey Norman,Consumer Discretionary,HVN.AX,EQ,
IDP Education Limited,Consumer Discretionary,IEL.AX,EQ,
JB Hi-Fi,Consumer Discretionary,JBH.AX,EQ,
Jumbo Interactive Limited,Consumer Discretionary,JIN.AX,EQ,
Kelsian Group Limited,Consumer Discretionary,KLS.AX,EQ,
Kogan.com,Consumer Discretionary,KGN.AX,EQ,
Lifestyle Communities Limited,Consumer Discretionary,LIC.AX,EQ,
Light & Wonder,Consumer Discretionary,LNW.AX,EQ,
Lovisa,Consumer Discretionary,LOV.AX,EQ,
Mader Group Limited,Consumer Discretionary,MAD.AX,EQ,
Myer Holdings,Consumer Discretionary,MYR.AX,EQ,
Nick Scali,Consumer Discretionary,NCK.AX,EQ,
PointsBet Holdings Limited,Consumer Discretionary,PBH.AX,EQ,
Premier Investments,Consumer Discretionary,PMV.AX,EQ,
Propel Funeral Partners Limited,Consumer Discretionary,PFP.AX,EQ,
SKY Network Television Limited,Consumer Discretionary,SKT.AX,EQ,
SkyCity Entertainment Group Limited,Consumer Discretionary,SKC.AX,EQ,
Smart Parking Limited,Consumer Discretionary,SPZ.AX,EQ,
Southern Cross Media Group Limited,Consumer Discretionary,SXL.AX,EQ,
Super Retail Group,Consumer Discretionary,SUL.AX,EQ,
Tabcorp,Consumer Discretionary,TAH.AX,EQ,
Temple & Webster Group Ltd,Consumer Discretionary,TPW.AX,EQ,
The Lottery Corporation,Consumer Discretionary,TLC.AX,EQ,
The Star Entertainment Group Limited,Consumer Discretionary,SGR.AX,EQ,
Universal Store Holdings Limited,Consumer Discretionary,UNI.AX,EQ,
Webjet,Consumer Discretionary,WEB.AX,EQ,
Wesfarmers,Consumer Discretionary,WES.AX,EQ,
