Company Name,Industry,Symbol,Series,ISIN Code
Amplitude Energy Limited,Energy,AEL.AX,EQ,
Ampol,Energy,ALD.AX,EQ,
Beach Energy,Energy,BPT.AX,EQ,
Beetaloo Energy Australia Limited,Energy,BTL.AX,EQ,
Channel Infrastructure NZ Limited,Energy,CHI.AX,EQ,
Deep Yellow,Energy,DYL.AX,EQ,
GreenX Metals Limited,Energy,GRX.AX,EQ,
Horizon Oil Limited,Energy,HZN.AX,EQ,
Karoon Energy,Energy,KAR.AX,EQ,
Macmahon Holdings Limited,Energy,MAH.AX,EQ,
New Hope,Energy,NHC.AX,EQ,
Nexgen Energy,Energy,NXG.AX,EQ,
Omega Oil & Gas Limited,Energy,OMA.AX,EQ,
Paladin Energy,Energy,PDN.AX,EQ,
Santos,Energy,STO.AX,EQ,
Strike Energy Limited,Energy,STX.AX,EQ,
Tamboran Resources Corporation,Energy,TBN.AX,EQ,
Viva Energy,Energy,VEA.AX,EQ,
Whitehaven Coal,Energy,WHC.AX,EQ,
Woodside Energy Group,Energy,WDS.AX,EQ,
Worley,Energy,WOR.AX,EQ,
