Company Name,Industry,Symbol,Series,ISIN Code
Abacus Group,Finance,ABG.AX,EQ,
Abacus Storage King,Finance,ASK.AX,EQ,
Arena REIT,Finance,ARF.AX,EQ,
Aspen Group Limited,Finance,APZ.AX,EQ,
Australian Ethical Investment Ltd,Finance,AEF.AX,EQ,
Australian Finance Group Ltd.,Finance,AFG.AX,EQ,
B Group Limited,Finance,AUBAU.AX,EQ,
B Holdings Ltd,Finance,NHFNI.AX,EQ,
Bank of Queensland Limited,Finance,BOQ.AX,EQ,
Bell Financial Group Limited,Finance,BFG.AX,EQ,
Bendigo & Adelaide Bank Ltd.,Finance,BEN.AX,EQ,
C Capital Limited,Finance,HMCHM.AX,EQ,
Carindale Property Trust,Finance,CDP.AX,EQ,
Cedar Woods Properties Limited,Finance,CWP.AX,EQ,
Centuria Capital Group,Finance,CNI.AX,EQ,
Centuria Industrial REIT,Finance,CIP.AX,EQ,
Centuria Office REIT,Finance,COF.AX,EQ,
Challenger Limited,Finance,CGF.AX,EQ,
Charter Hall Group,Finance,CHC.AX,EQ,
Charter Hall Long WALE REIT,Finance,CLW.AX,EQ,
Charter Hall Retail REIT,Finance,CQR.AX,EQ,
Charter Hall Social Infrastructure REIT,Finance,CQE.AX,EQ,
Chrysos Corp. Ltd.,Finance,C79.AX,EQ,
ClearView Wealth Limited,Finance,CVW.AX,EQ,
Commonwealth Bank of Australia,Finance,CBA.AX,EQ,
Cromwell Property Group,Finance,CMW.AX,EQ,
Dexus,Finance,DXS.AX,EQ,
Dexus Convenience Retail REIT,Finance,DXC.AX,EQ,
Dexus Industria REIT,Finance,DXI.AX,EQ,
Digico Infrastructure REIT,Finance,DGT.AX,EQ,
E Insurance Group Limited,Finance,QBEQB.AX,EQ,
Emeco Holdings Limited,Finance,EHL.AX,EQ,
FleetPartners Group Limited,Finance,FPR.AX,EQ,
"G Partners, Inc. Shs Chess Depository Interests Repr 1 Sh",Finance,GQGGQ.AX,EQ,
GL1 Group Limited,Finance,L1.AX,EQ,
Gemlife Communities Group,Finance,GLF.AX,EQ,
Generation Development Group Limited,Finance,GDG.AX,EQ,
Goodman Group,Finance,GMG.AX,EQ,
Growthpoint Properties Australia,Finance,GOZ.AX,EQ,
HealthCo Healthcare & Wellness REIT,Finance,HCW.AX,EQ,
Heartland Group Holdings Ltd.,Finance,HGH.AX,EQ,
Helia Group Limited,Finance,HLI.AX,EQ,
HomeCo Daily Needs REIT,Finance,HDN.AX,EQ,
Humm Group Limited,Finance,HUM.AX,EQ,
I Property Group,Finance,GDIGD.AX,EQ,
Infratil Limited,Finance,IFT.AX,EQ,
Ingenia Communities Group,Finance,INA.AX,EQ,
Insurance Australia Group Ltd,Finance,IAG.AX,EQ,
Judo Capital Holdings Limited,Finance,JDO.AX,EQ,
Kina Securities Ltd.,Finance,KSL.AX,EQ,
L1 Gold Fund Limited,Finance,LGF.AX,EQ,
Latitude Group Holdings Ltd.,Finance,LFS.AX,EQ,
Liberty Financial Group Ltd,Finance,LFG.AX,EQ,
MA Financial Group Limited,Finance,MAF.AX,EQ,
"Macquarie Group, Ltd.",Finance,MQG.AX,EQ,
Magellan Financial Group Ltd,Finance,MFG.AX,EQ,
Mcmillan Shakespeare Limited,Finance,MMS.AX,EQ,
Medibank Private Ltd.,Finance,MPL.AX,EQ,
Metrics Real Estate Multi-Strategy Fund,Finance,MRE.AX,EQ,
Mirvac Group,Finance,MGR.AX,EQ,
Mystate Limited,Finance,MYS.AX,EQ,
National Australia Bank Limited,Finance,NAB.AX,EQ,
Navigator Global Investments Ltd,Finance,NGI.AX,EQ,
Netwealth Group Ltd.,Finance,NWL.AX,EQ,
P Financial Group Ltd.,Finance,BFLBS.AX,EQ,
P Limited,Finance,AMPAM.AX,EQ,
P Trust,Finance,BWPBW.AX,EQ,
Pacific Current Group Ltd,Finance,PAC.AX,EQ,
Peet Limited,Finance,PPC.AX,EQ,
Pepper Money Ltd,Finance,PPM.AX,EQ,
Perpetual Limited,Finance,PPT.AX,EQ,
Pinnacle Investment Management Group Limited,Finance,PNI.AX,EQ,
Qualitas Limited,Finance,QAL.AX,EQ,
Qualitas Real Estate Income Fund Units,Finance,QRI.AX,EQ,
Regal Partners Limited,Finance,RPL.AX,EQ,
Region Group,Finance,RGN.AX,EQ,
Resimac Group Limited,Finance,RMC.AX,EQ,
Rural Funds Group,Finance,RFF.AX,EQ,
Scentre Group,Finance,SCG.AX,EQ,
Servcorp Limited,Finance,SRV.AX,EQ,
Steadfast Group Limited,Finance,SDF.AX,EQ,
Stockland,Finance,SGP.AX,EQ,
Suncorp Group Limited,Finance,SUN.AX,EQ,
T Group,Finance,GPTGP.AX,EQ,
T Holdings Ltd.,Finance,EQTEQ.AX,EQ,
Tourism Holdings Limited,Finance,THL.AX,EQ,
Tower Limited,Finance,TWR.AX,EQ,
Turners Automotive Group Ltd,Finance,TRA.AX,EQ,
Vicinity Centres,Finance,VCX.AX,EQ,
Washington H. Soul Pattinson and Company Limited,Finance,SOL.AX,EQ,
Waypoint REIT Ltd.,Finance,WPR.AX,EQ,
Westpac Banking Corporation,Finance,WBC.AX,EQ,
Whitefield income limited,Finance,WHI.AX,EQ,
Winton Land Limited,Finance,WTN.AX,EQ,
X Limited,Finance,ASXAS.AX,EQ,
XA Group Limited,Finance,PXAPE.AX,EQ,
Z Group Holdings Limited,Finance,ANZAN.AX,EQ,
Zip Co Ltd.,Finance,ZIP.AX,EQ,
