Company Name,Industry,Symbol,Series,ISIN Code
AMCIL Limited,Financials,AMH.AX,EQ,
AMP,Financials,AMP.AX,EQ,
ASX,Financials,ASX.AX,EQ,
AUB Group,Financials,AUB.AX,EQ,
Abacus Group,Financials,ABG.AX,EQ,
Arena REIT,Financials,ARF.AX,EQ,
Argo Global Listed Infrastructure Limited,Financials,ALI.AX,EQ,
Argo Investments,Financials,ARG.AX,EQ,
Aspen Group,Financials,APZ.AX,EQ,
Australia & New Zealand Banking Group,Financials,ANZ.AX,EQ,
Australian Ethical Investment Limited,Financials,AEF.AX,EQ,
Australian Finance Group Limited,Financials,AFG.AX,EQ,
Australian Foundation Investment Company,Financials,AFI.AX,EQ,
Australian United Investment Company Limited,Financials,AUI.AX,EQ,
BKI Investment Company Limited,Financials,BKI.AX,EQ,
BSP Financial Group,Financials,BFL.AX,EQ,
Bank of Queensland,Financials,BOQ.AX,EQ,
Bell Financial Group Limited,Financials,BFG.AX,EQ,
Bendigo & Adelaide Bank,Financials,BEN.AX,EQ,
COG Financial Services Limited,Financials,COG.AX,EQ,
Carindale Property Trust,Financials,CDP.AX,EQ,
Carlton Investments Ltd.,Financials,CIN.AX,EQ,
Cedar Woods Properties Limited,Financials,CWP.AX,EQ,
Centuria Capital Group,Financials,CNI.AX,EQ,
Centuria Office REIT,Financials,COF.AX,EQ,
Challenger,Financials,CGF.AX,EQ,
Charter Hall Social Infrastructure REIT,Financials,CQE.AX,EQ,
Chrysos Corporation Limited,Financials,C79.AX,EQ,
ClearView Wealth Limited,Financials,CVW.AX,EQ,
Commonwealth Bank,Financials,CBA.AX,EQ,
Cromwell Property Group,Financials,CMW.AX,EQ,
Dexus Convenience Retail REIT,Financials,DXC.AX,EQ,
Dexus Industria REIT,Financials,DXI.AX,EQ,
Digico Infrastructure REIT,Financials,DGT.AX,EQ,
Djerriwarrh Investments Limited,Financials,DJW.AX,EQ,
Dominion Income Trust 1,Financials,DN1.AX,EQ,
EQT Holdings Limited,Financials,EQT.AX,EQ,
Emeco Holdings Limited,Financials,EHL.AX,EQ,
FleetPartners Group Limited,Financials,FPR.AX,EQ,
Future Generation Australia Limited,Financials,FGX.AX,EQ,
Future Generation Global Limited,Financials,FGG.AX,EQ,
GDI Property Group,Financials,GDI.AX,EQ,
GQG Partners,Financials,GQG.AX,EQ,
GemLife Communities Group,Financials,GLF.AX,EQ,
Generation Development Group,Financials,GDG.AX,EQ,
Global Lithium Resources Limited,Financials,GL1.AX,EQ,
Growthpoint Properties Australia,Financials,GOZ.AX,EQ,
Gryphon Capital Income Trust,Financials,GCI.AX,EQ,
HMC Capital Limited,Financials,HMC.AX,EQ,
HUB24,Financials,HUB.AX,EQ,
HealthCo Healthcare and Wellness REIT,Financials,HCW.AX,EQ,
Heartland Group Holdings Limited,Financials,HGH.AX,EQ,
Hearts and Minds Investments Limited,Financials,HM1.AX,EQ,
Helia Group Limited,Financials,HLI.AX,EQ,
Humm Group Limited,Financials,HUM.AX,EQ,
Infratil,Financials,IFT.AX,EQ,
Insurance Australia Group,Financials,IAG.AX,EQ,
Judo Capital Holdings Limited,Financials,JDO.AX,EQ,
Kina Securities Limited,Financials,KSL.AX,EQ,
Kkr Credit Income Fund,Financials,KKC.AX,EQ,
L1 Global Long Short Fund Limited,Financials,GLS.AX,EQ,
L1 Gold Fund Limited,Financials,LGF.AX,EQ,
L1 Long Short Fund,Financials,LSF.AX,EQ,
Latitude Group Holdings Limited,Financials,LFS.AX,EQ,
Liberty Financial Group Limited,Financials,LFG.AX,EQ,
M Income Maximiser Limited,Financials,WMX.AX,EQ,
MA Credit Income Trust,Financials,MA1.AX,EQ,
MA Financial Group Limited,Financials,MAF.AX,EQ,
MFF Capital Investments,Financials,MFF.AX,EQ,
Macquarie Group,Financials,MQG.AX,EQ,
Magellan Financial Group,Financials,MFG.AX,EQ,
McMillan Shakespeare Limited,Financials,MMS.AX,EQ,
Medibank,Financials,MPL.AX,EQ,
Metrics Income Opportunities Trust,Financials,MOT.AX,EQ,
Metrics Master Income Trust,Financials,MXT.AX,EQ,
Metrics Real Estate Multi-Strategy Fund,Financials,MRE.AX,EQ,
Mirrabooka Investments Limited,Financials,MIR.AX,EQ,
MyState Limited,Financials,MYS.AX,EQ,
National Australia Bank,Financials,NAB.AX,EQ,
Navigator Global Investments Limited,Financials,NGI.AX,EQ,
Netwealth Group,Financials,NWL.AX,EQ,
Nib,Financials,NHF.AX,EQ,
Ophir Asset Management Pty Ltd - Ophir High Conviction Fund,Financials,OPH.AX,EQ,
PM Capital Global Opportunities Fund Limited,Financials,PGF.AX,EQ,
Pacific Current Group Limited,Financials,PAC.AX,EQ,
Peet Limited,Financials,PPC.AX,EQ,
Pengana International Equities Limited,Financials,PIA.AX,EQ,
Pengana Private Equity Trust,Financials,PE1.AX,EQ,
Pepper Money Limited,Financials,PPM.AX,EQ,
Perpetual,Financials,PPT.AX,EQ,
Perpetual Credit Income Trust,Financials,PCI.AX,EQ,
Perpetual Equity Investment Company Limited,Financials,PIC.AX,EQ,
Pinnacle Investment Management,Financials,PNI.AX,EQ,
Plato Income Maximiser Limited,Financials,PL8.AX,EQ,
QBE Insurance,Financials,QBE.AX,EQ,
Qualitas Limited,Financials,QAL.AX,EQ,
Qualitas Real Estate Income Fund,Financials,QRI.AX,EQ,
Regal Asian Investments Limited,Financials,RG8.AX,EQ,
Regal Investment Fund,Financials,RF1.AX,EQ,
Regal Partners Global Investments Limited,Financials,RG1.AX,EQ,
Regal Partners Limited,Financials,RPL.AX,EQ,
Resimac Group Limited,Financials,RMC.AX,EQ,
Rural Funds Group,Financials,RFF.AX,EQ,
Servcorp Limited,Financials,SRV.AX,EQ,
Soul Patts,Financials,SOL.AX,EQ,
Steadfast Group,Financials,SDF.AX,EQ,
Suncorp,Financials,SUN.AX,EQ,
Tourism Holdings Limited,Financials,THL.AX,EQ,
Tower Limited,Financials,TWR.AX,EQ,
Turners Automotive Group Limited,Financials,TRA.AX,EQ,
WAM Capital,Financials,WAM.AX,EQ,
WAM Global Limited,Financials,WGB.AX,EQ,
WAM Leaders,Financials,WLE.AX,EQ,
WAM Microcap Limited,Financials,WMI.AX,EQ,
WCM Global Growth Limited,Financials,WQG.AX,EQ,
Waypoint REIT,Financials,WPR.AX,EQ,
Westpac,Financials,WBC.AX,EQ,
Whitefield Income Limited,Financials,WHI.AX,EQ,
Whitefield Industrials Limited,Financials,WHF.AX,EQ,
Winton Land Limited,Financials,WTN.AX,EQ,
Zip,Financials,ZIP.AX,EQ,
Revolution Private Credit,Financials,REV.AX,EQ,
