Company Name,Industry,Symbol,Series,ISIN Code
4DMedical,Health Care,4DX.AX,EQ,
AFT Pharmaceuticals Limited,Health Care,AFP.AX,EQ,
Ansell,Health Care,ANN.AX,EQ,
Australian Clinical Labs,Health Care,ACL.AX,EQ,
CSL,Health Care,CSL.AX,EQ,
Clarity Pharmaceuticals Ltd,Health Care,CU6.AX,EQ,
Clinuvel Pharmaceuticals,Health Care,CUV.AX,EQ,
Cochlear,Health Care,COH.AX,EQ,
EBOS Group,Health Care,EBO.AX,EQ,
Fisher & Paykel Healthcare,Health Care,FPH.AX,EQ,
"Imricor Medical Systems, Inc.",Health Care,IMR.AX,EQ,
Integral Diagnostics,Health Care,IDX.AX,EQ,
Mesoblast,Health Care,MSB.AX,EQ,
Monash IVF Group,Health Care,MVF.AX,EQ,
Nanosonics Limited,Health Care,NAN.AX,EQ,
Neuren Pharmaceuticals Limited,Health Care,NEU.AX,EQ,
Oceania Healthcare Limited,Health Care,OCA.AX,EQ,
PYC Therapeutics Limited,Health Care,PYC.AX,EQ,
Pacific Edge Limited,Health Care,PEB.AX,EQ,
Polynovo,Health Care,PNV.AX,EQ,
Pro Medicus,Health Care,PME.AX,EQ,
Racura Oncology Ltd,Health Care,RAC.AX,EQ,
Ramsay Health Care,Health Care,RHC.AX,EQ,
Regis Healthcare,Health Care,REG.AX,EQ,
ResMed,Health Care,RMD.AX,EQ,
Ryman Healthcare,Health Care,RYM.AX,EQ,
Sigma Healthcare,Health Care,SIG.AX,EQ,
Sonic Healthcare,Health Care,SHL.AX,EQ,
Starpharma Holdings Limited,Health Care,SPL.AX,EQ,
Summerset Group Holdings,Health Care,SNZ.AX,EQ,
Telix Pharmaceuticals,Health Care,TLX.AX,EQ,
