Company Name,Industry,Symbol,Series,ISIN Code
C Therapeutics Limited,Health technology,PYCPY.AX,EQ,
Clarity Pharmaceuticals Ltd.,Health technology,CU6.AX,EQ,
Clinuvel Pharmaceuticals Limited,Health technology,CUV.AX,EQ,
Cochlear Limited,Health technology,COH.AX,EQ,
Fisher & Paykel Healthcare Corporation Limited,Health technology,FPH.AX,EQ,
"Imricor Medical Systems, Inc. Shs Chess Depository Interests Repr 1 Sh",Health technology,IMR.AX,EQ,
L Limited,Health technology,CSLCS.AX,EQ,
Mesoblast Limited,Health technology,MSB.AX,EQ,
Nanosonics Limited,Health technology,NAN.AX,EQ,
Neuren Pharmaceuticals Limited,Health technology,NEU.AX,EQ,
OS Group Limited,Health technology,EBOEB.AX,EQ,
Pacific Edge Limited,Health technology,PEB.AX,EQ,
Polynovo Limited,Health technology,PNV.AX,EQ,
Racura Oncology Ltd,Health technology,RAC.AX,EQ,
ResMed Inc. CHESS Depositary Interests on a ratio of 10 CDIs per ord.sh,Health technology,RMD.AX,EQ,
Sigma Healthcare Ltd,Health technology,SIG.AX,EQ,
Starpharma Holdings Limited,Health technology,SPL.AX,EQ,
T Pharmaceuticals Ltd.,Health technology,AFPAF.AX,EQ,
Telix Pharmaceuticals Limited,Health technology,TLX.AX,EQ,
