Company Name,Industry,Symbol,Series,ISIN Code
ALS,Industrials,ALQ.AX,EQ,
Accent Group Limited,Industrials,AX1.AX,EQ,
Acrow Limited,Industrials,ACF.AX,EQ,
Air New Zealand Limited,Industrials,AIZ.AX,EQ,
Atlas Arteria,Industrials,ALX.AX,EQ,
Auckland International Airport Limited,Industrials,AIA.AX,EQ,
Aurizon,Industrials,AZJ.AX,EQ,
Austal,Industrials,ASB.AX,EQ,
Bapcor Limited,Industrials,BAP.AX,EQ,
Beacon Lighting Group Limited,Industrials,BLX.AX,EQ,
"Block, Inc.",Industrials,XYZ.AX,EQ,
Brambles,Industrials,BXB.AX,EQ,
Civmec Limited,Industrials,CVL.AX,EQ,
Cleanaway,Industrials,CWY.AX,EQ,
Cogstate Limited,Industrials,CGS.AX,EQ,
Credit Corp Group Limited,Industrials,CCP.AX,EQ,
Cuscal Limited,Industrials,CCL.AX,EQ,
Dalrymple Bay Infrastructure,Industrials,DBI.AX,EQ,
Downer Group,Industrials,DOW.AX,EQ,
Droneshield,Industrials,DRO.AX,EQ,
Duratec Limited,Industrials,DUR.AX,EQ,
Electro Optic Systems Holdings,Industrials,EOS.AX,EQ,
Fletcher Building,Industrials,FBU.AX,EQ,
Freightways Group,Industrials,FRW.AX,EQ,
GR Engineering Services Limited,Industrials,GNG.AX,EQ,
GenusPlus Group Ltd,Industrials,GNP.AX,EQ,
GrainCorp Limited,Industrials,GNC.AX,EQ,
IPH Limited,Industrials,IPH.AX,EQ,
IVE Group Limited,Industrials,IGL.AX,EQ,
K&S Corporation Limited,Industrials,KSC.AX,EQ,
Lycopodium Limited,Industrials,LYL.AX,EQ,
MAAS Group Holdings Limited,Industrials,MGH.AX,EQ,
Mayfield Group Holdings Limited,Industrials,MYG.AX,EQ,
Monadelphous Group,Industrials,MND.AX,EQ,
NRW Holdings,Industrials,NWH.AX,EQ,
Omni Bridgeway Limited,Industrials,OBL.AX,EQ,
PWR Holdings Limited,Industrials,PWH.AX,EQ,
Qantas,Industrials,QAN.AX,EQ,
Qube Holdings,Industrials,QUB.AX,EQ,
Redox,Industrials,RDX.AX,EQ,
Reece Group,Industrials,REH.AX,EQ,
Reliance Worldwide Corporation,Industrials,RWC.AX,EQ,
Ricegrowers Limited,Industrials,SGLLV.AX,EQ,
SGH,Industrials,SGH.AX,EQ,
SHAPE Australia Corporation Limited,Industrials,SHA.AX,EQ,
SRG Global Limited,Industrials,SRG.AX,EQ,
Service Stream Limited,Industrials,SSM.AX,EQ,
Smartgroup Corporation Ltd,Industrials,SIQ.AX,EQ,
Southern Cross Electrical Engineering Limited,Industrials,SXE.AX,EQ,
Steamships Trading Company Limited,Industrials,SST.AX,EQ,
Sunrise Energy Metals Limited,Industrials,SRL.AX,EQ,
Superloop Limited,Industrials,SLC.AX,EQ,
Supply Network Limited,Industrials,SNL.AX,EQ,
Symal Group Limited,Industrials,SYL.AX,EQ,
Tasmea Limited,Industrials,TEA.AX,EQ,
Titomic Limited,Industrials,TTT.AX,EQ,
Transurban,Industrials,TCL.AX,EQ,
Tyro Payments Limited,Industrials,TYR.AX,EQ,
Ventia Services Group,Industrials,VNT.AX,EQ,
Virgin Australia Holdings,Industrials,VGN.AX,EQ,
Vulcan Steel Limited,Industrials,VSL.AX,EQ,
Vysarn Limited,Industrials,VYS.AX,EQ,
oOh!media Limited,Industrials,OML.AX,EQ,
