Company Name,Industry,Symbol,Series,ISIN Code
ARN Media Limited,Materials,A1N.AX,EQ,
Advanced Innergy Holdings Ltd.,Materials,AIH.AX,EQ,
Aeris Resources Limited,Materials,AIS.AX,EQ,
Alcoa,Materials,AAI.AX,EQ,
Alicanto Minerals Limited,Materials,AQI.AX,EQ,
Alkane Resources,Materials,ALK.AX,EQ,
Amaero Ltd,Materials,3DA.AX,EQ,
Amcor,Materials,AMC.AX,EQ,
Andean Silver Limited,Materials,ASL.AX,EQ,
Antipa Minerals Limited,Materials,AZY.AX,EQ,
Arafura Rare Earths Limited,Materials,ARU.AX,EQ,
Asara Resources Limited,Materials,AS1.AX,EQ,
Aurelia Metals Limited,Materials,AMI.AX,EQ,
Ausgold Limited,Materials,AUC.AX,EQ,
Australian Strategic Materials Ltd,Materials,ASM.AX,EQ,
BCI Minerals Limited,Materials,BCI.AX,EQ,
BHP,Materials,BHP.AX,EQ,
BMC Minerals Limited,Materials,BMC.AX,EQ,
Bannerman Energy Ltd,Materials,BMN.AX,EQ,
Bellevue Gold,Materials,BGL.AX,EQ,
Benz Mining Corp.,Materials,BNZ.AX,EQ,
Black Cat Syndicate Limited,Materials,BC8.AX,EQ,
BlueScope,Materials,BSL.AX,EQ,
Boss Energy Limited,Materials,BOE.AX,EQ,
Brazilian Rare Earths Limited,Materials,BRE.AX,EQ,
Brightstar Resources Limited,Materials,BTR.AX,EQ,
Capricorn Metals,Materials,CMM.AX,EQ,
Capstone Copper,Materials,CSC.AX,EQ,
Catalyst Metals,Materials,CYL.AX,EQ,
Centaurus Metals Limited,Materials,CTM.AX,EQ,
Chalice Mining Limited,Materials,CHN.AX,EQ,
Challenger Gold Limited,Materials,CEL.AX,EQ,
Champion Iron,Materials,CIA.AX,EQ,
Cobram Estate Olives Limited,Materials,CBO.AX,EQ,
Cobre Limited,Materials,CBE.AX,EQ,
Core Lithium Ltd,Materials,CXO.AX,EQ,
Coronado Global Resources,Materials,CRN.AX,EQ,
Dateline Resources Limited,Materials,DTR.AX,EQ,
Deterra Royalties,Materials,DRR.AX,EQ,
Develop Global Limited,Materials,DVP.AX,EQ,
Dyno Nobel,Materials,DNL.AX,EQ,
EQ Resources Limited,Materials,EQR.AX,EQ,
Echo IQ Limited,Materials,EIQ.AX,EQ,
Elders Limited,Materials,ELD.AX,EQ,
Elevra Lithium Limited,Materials,ELV.AX,EQ,
Emerald Resources,Materials,EMR.AX,EQ,
