Company Name,Industry,Symbol,Series,ISIN Code
BHP Group Ltd,Non-Energy Minerals,BHP.AX,EQ,
Rio Tinto Limited,Non-Energy Minerals,RIO.AX,EQ,
Newmont Corporation,Non-Energy Minerals,NEM.AX,EQ,
Fortescue Ltd,Non-Energy Minerals,FMG.AX,EQ,
Northern Star Resources Ltd,Non-Energy Minerals,NST.AX,EQ,
Evolution Mining Limited,Non-Energy Minerals,EVN.AX,EQ,
Alcoa Corporation,Non-Energy Minerals,AAI.AX,EQ,
PLS Group Limited,Non-Energy Minerals,PLS.AX,EQ,
Lynas Rare Earths Limited,Non-Energy Minerals,LYC.AX,EQ,
South32 Ltd,Non-Energy Minerals,S32.AX,EQ,
James Hardie Industries,Non-Energy Minerals,JHX.AX,EQ,
Mineral Resources Limited,Non-Energy Minerals,MIN.AX,EQ,
NexGen Energy Ltd,Non-Energy Minerals,NXG.AX,EQ,
DPM Metals Inc,Non-Energy Minerals,DPM.AX,EQ,
Greatland Resources Limited,Non-Energy Minerals,GGP.AX,EQ,
Capstone Copper Corp,Non-Energy Minerals,CSC.AX,EQ,
Liontown Limited,Non-Energy Minerals,LTR.AX,EQ,
Almonty Industries Inc,Non-Energy Minerals,AII.AX,EQ,
Sandfire Resources Ltd,Non-Energy Minerals,SFR.AX,EQ,
Perseus Mining Limited,Non-Energy Minerals,PRU.AX,EQ,
PT ANTAM (Persero) Tbk,Non-Energy Minerals,ATM.AX,EQ,
Genesis Minerals Limited,Non-Energy Minerals,GMD.AX,EQ,
Ramelius Resources Limited,Non-Energy Minerals,RMS.AX,EQ,
IGO Limited,Non-Energy Minerals,IGO.AX,EQ,
Paladin Energy Ltd,Non-Energy Minerals,PDN.AX,EQ,
Capricorn Metals Ltd,Non-Energy Minerals,CMM.AX,EQ,
Regis Resources Limited,Non-Energy Minerals,RRL.AX,EQ,
Westgold Resources Ltd,Non-Energy Minerals,WGX.AX,EQ,
