Company Name,Industry,Symbol,Series,ISIN Code
Abacus Storage King,Real Estate,ASK.AX,EQ,
BWP Trust,Real Estate,BWP.AX,EQ,
Centuria Industrial REIT,Real Estate,CIP.AX,EQ,
Charter Hall,Real Estate,CHC.AX,EQ,
Charter Hall Long WALE REIT,Real Estate,CLW.AX,EQ,
Charter Hall Retail REIT,Real Estate,CQR.AX,EQ,
Dexus,Real Estate,DXS.AX,EQ,
GPT Group,Real Estate,GPT.AX,EQ,
Goodman Group,Real Estate,GMG.AX,EQ,
HomeCo Daily Needs REIT,Real Estate,HDN.AX,EQ,
Ingenia Communities,Real Estate,INA.AX,EQ,
Lendlease,Real Estate,LLC.AX,EQ,
Mirvac,Real Estate,MGR.AX,EQ,
Pexa Group,Real Estate,PXA.AX,EQ,
Region Group,Real Estate,RGN.AX,EQ,
Scentre Group,Real Estate,SCG.AX,EQ,
Stockland,Real Estate,SGP.AX,EQ,
Vicinity Centres,Real Estate,VCX.AX,EQ,
