Company Name,Industry,Symbol,Series,ISIN Code
Appen,Technology,APX.AX,EQ,
Artrya Limited,Technology,AYA.AX,EQ,
BrainChip Holdings Ltd,Technology,BRN.AX,EQ,
Bravura Solutions Limited,Technology,BVS.AX,EQ,
Catapult Sports Ltd,Technology,CAT.AX,EQ,
Codan,Technology,CDA.AX,EQ,
Computershare,Technology,CPU.AX,EQ,
DUG Technology Ltd,Technology,DUG.AX,EQ,
Data#3 Limited,Technology,DTL.AX,EQ,
Elsight Limited,Technology,ELS.AX,EQ,
Energy One Limited,Technology,EOL.AX,EQ,
FINEOS Corporation Holdings plc,Technology,FCL.AX,EQ,
Fortifai Limited,Technology,FTI.AX,EQ,
Gentrack Group Limited,Technology,GTK.AX,EQ,
Hansen Technologies Limited,Technology,HSN.AX,EQ,
Iress Limited,Technology,IRE.AX,EQ,
Life360,Technology,360.AX,EQ,
Megaport,Technology,MP1.AX,EQ,
NextDC,Technology,NXT.AX,EQ,
Nuix Limited,Technology,NXL.AX,EQ,
Objective Corporation,Technology,OCL.AX,EQ,
Praemium Limited,Technology,PPS.AX,EQ,
Qoria Limited,Technology,QOR.AX,EQ,
SKS Technologies Group Limited,Technology,SKS.AX,EQ,
Silex Systems Limited,Technology,SLX.AX,EQ,
SiteMinder Limited,Technology,SDR.AX,EQ,
TechnologyOne,Technology,TNE.AX,EQ,
Vista Group International Limited,Technology,VGL.AX,EQ,
Weebit Nano Limited,Technology,WBT.AX,EQ,
Wisetech Global,Technology,WTC.AX,EQ,
Xero,Technology,XRO.AX,EQ,
