Company Name,Industry,Symbol,Series,ISIN Code
Appen Ltd.,Technology services,APX.AX,EQ,
Artrya Limited,Technology services,AYA.AX,EQ,
B24 Limited,Technology services,HUBHU.AX,EQ,
Bravura Solutions Limited,Technology services,BVS.AX,EQ,
DMedical Ltd.,Technology services,4DX4.AX,EQ,
Data#3 Limited.,Technology services,DTL.AX,EQ,
ESS Limited,Technology services,IREIR.AX,EQ,
Elsight Ltd.,Technology services,ELS.AX,EQ,
Energy One Limited,Technology services,EOL.AX,EQ,
Fortifai Limited,Technology services,FTI.AX,EQ,
G Technology Ltd,Technology services,DUGDU.AX,EQ,
Gentrack Group Ltd,Technology services,GTK.AX,EQ,
Hansen Technologies Limited,Technology services,HSN.AX,EQ,
"Life360, Inc. Shs Chess Depository Interests Repr 3 Sh",Technology services,360.AX,EQ,
Megaport Ltd.,Technology services,MP1.AX,EQ,
NEOS Corporation Holdings Plc Shs Chess Depositary Interests Repr 1 Sh,Technology services,FCLFI.AX,EQ,
Nextdc Limited,Technology services,NXT.AX,EQ,
Nuix Ltd.,Technology services,NXL.AX,EQ,
Objective Corporation Limited,Technology services,OCL.AX,EQ,
Praemium Ltd,Technology services,PPS.AX,EQ,
Qoria Limited,Technology services,QOR.AX,EQ,
R Group Limited,Technology services,CARCA.AX,EQ,
Seek Limited,Technology services,SEK.AX,EQ,
SiteMinder Limited,Technology services,SDR.AX,EQ,
Technology One Limited,Technology services,TNE.AX,EQ,
Vista Group International Ltd,Technology services,VGL.AX,EQ,
Wisetech Global Ltd.,Technology services,WTC.AX,EQ,
Xero Limited,Technology services,XRO.AX,EQ,
