Company Name,Industry,Symbol,Series,ISIN Code
Itau Unibanco,Financials,ITUB4,EQ,
Bradesco,Financials,BBDC4,EQ,
Banco do Brasil,Financials,BBAS3,EQ,
Santander Brasil,Financials,SANB11,EQ,
BTG Pactual,Financials,BPAC11,EQ,
XP Inc,Financials,XPBR31,EQ,
B3 SA,Financials,B3SA3,EQ,
BB Seguridade,Financials,BBSE3,EQ,
Porto Seguro,Financials,PSSA3,EQ,
SulAmerica,Financials,SULA11,EQ,
Petrobras PN,Energy,PETR4,EQ,
Petrobras ON,Energy,PETR3,EQ,
Cosan SA,Energy,CSAN3,EQ,
Ultrapar,Energy,UGPA3,EQ,
PetroRio,Energy,PRIO3,EQ,
Raizen Energia,Energy,RAIZ4,EQ,
Eneva SA,Utilities,ENEV3,EQ,
Equatorial Energia,Utilities,EQTL3,EQ,
Eletrobras,Utilities,ELET3,EQ,
CPFL Energia,Utilities,CPFE3,EQ,
Cemig,Utilities,CMIG4,EQ,
Copel,Utilities,CPLE6,EQ,
Vale SA,Materials,VALE3,EQ,
Gerdau SA,Materials,GGBR4,EQ,
Usiminas,Materials,USIM5,EQ,
CSN Mineracao,Materials,CMIN3,EQ,
Braskem,Materials,BRKM5,EQ,
Suzano SA,Materials,SUZB3,EQ,
Klabin SA,Materials,KLBN11,EQ,
Fibria Celulose,Materials,FIBR3,EQ,
Ambev SA,Consumer Staples,ABEV3,EQ,
JBS SA,Consumer Staples,JBSS3,EQ,
BRF SA,Consumer Staples,BRFS3,EQ,
Marfrig Global,Consumer Staples,MRFG3,EQ,
Minerva Foods,Consumer Staples,BEEF3,EQ,
M Dias Branco,Consumer Staples,MDIA3,EQ,
Natura Cosmeticos,Consumer Staples,NTCO3,EQ,
Magazine Luiza,ConsumerDisc,MGLU3,EQ,
Lojas Renner,ConsumerDisc,LREN3,EQ,
Grupo Soma,ConsumerDisc,SOMA3,EQ,
Arezzo Industria,ConsumerDisc,ARZZ3,EQ,
Localiza Rent,ConsumerDisc,RENT3,EQ,
Grupo Fleury,ConsumerDisc,FLRY3,EQ,
Hapvida,Healthcare,HAPV3,EQ,
Rede D Or,Healthcare,RDOR3,EQ,
NotreDame Intermedica,Healthcare,GNDI3,EQ,
DASA,Healthcare,DASA3,EQ,
Blau Farmaceutica,Healthcare,BLAU3,EQ,
TOTVS SA,Technology,TOTS3,EQ,
Positivo Tecnologia,Technology,POSI3,EQ,
Locaweb,Technology,LWSA3,EQ,
Meliuz SA,Technology,CASH3,EQ,
PagSeguro,Technology,PAGS34,EQ,
StoneCo,Technology,STOC31,EQ,
Embraer,Industrials,EMBR3,EQ,
WEG SA,Industrials,WEGE3,EQ,
Randon SA,Industrials,RAPT4,EQ,
Tupy SA,Industrials,TUPY3,EQ,
Porto Imbituba,Industrials,IMBI4,EQ,
Cyrela Realty,RealEstate,CYRE3,EQ,
MRV Engenharia,RealEstate,MRVE3,EQ,
EZTec,RealEstate,EZTC3,EQ,
Multiplan,RealEstate,MULT3,EQ,
Iguatemi,RealEstate,IGTI11,EQ,
TIM SA,CommServices,TIMS3,EQ,
Telefonica Brasil,CommServices,VIVT3,EQ,
Oi SA,CommServices,OIBR3,EQ,
