Company Name,Industry,Symbol,Series,ISIN Code
Petroleo Brasileiro SA (Petrobras) ON,Energy,PETR3.SA,EQ,
Petroleo Brasileiro SA (Petrobras) PN,Energy,PETR4.SA,EQ,
ENGIE Brasil Energia SA,Utilities,EGIE3.SA,EQ,
Cosan SA,Energy,CSAN3.SA,EQ,
Raizen Energia SA PN,Energy,RAIZ4.SA,EQ,
Ultrapar Participacoes SA,Energy,UGPA3.SA,EQ,
Vale SA,Materials,VALE3.SA,EQ,
Gerdau SA PN,Materials,GGBR4.SA,EQ,
Metalurgica Gerdau SA PN,Materials,GOAU4.SA,EQ,
Braskem SA PN,Materials,BRKM5.SA,EQ,
Suzano SA,Materials,SUZB3.SA,EQ,
Klabin SA,Materials,KLBN11.SA,EQ,
Dexco SA,Materials,DXCO3.SA,EQ,
Usinas Siderurgicas de Minas Gerais SA PN,Materials,USIM5.SA,EQ,
Companhia Siderurgica Nacional SA,Materials,CSNA3.SA,EQ,
CBA - Companhia Brasileira de Aluminio,Materials,CBAV3.SA,EQ,
Itau Unibanco Holding SA PN,Financials,ITUB4.SA,EQ,
Banco Bradesco SA PN,Financials,BBDC4.SA,EQ,
Banco do Brasil SA,Financials,BBAS3.SA,EQ,
Banco Santander Brasil SA,Financials,SANB11.SA,EQ,
XP Inc. Class A,Financials,XPBR31.SA,EQ,
B3 SA - Brasil Bolsa Balcao,Financials,B3SA3.SA,EQ,
BTG Pactual SA,Financials,BPAC11.SA,EQ,
Porto Seguro SA,Financials,PSSA3.SA,EQ,
BB Seguridade Participacoes SA,Financials,BBSE3.SA,EQ,
Cielo SA,Financials,CIEL3.SA,EQ,
Hapvida Participacoes e Investimentos SA,Health Care,HAPV3.SA,EQ,
SulAmerica SA,Financials,SULA11.SA,EQ,
Ambev SA,Consumer Staples,ABEV3.SA,EQ,
JBS SA,Consumer Staples,JBSS3.SA,EQ,
BRF SA,Consumer Staples,BRFS3.SA,EQ,
WEG SA,Industrials,WEGE3.SA,EQ,
Marfrig Global Foods SA,Consumer Staples,MRFG3.SA,EQ,
Minerva Foods SA,Consumer Staples,BEEF3.SA,EQ,
Sao Martinho SA,Consumer Staples,SMTO3.SA,EQ,
Camil Alimentos SA,Consumer Staples,CAML3.SA,EQ,
M Dias Branco SA,Consumer Staples,MDIA3.SA,EQ,
Localiza Rent a Car SA,Consumer Discretionary,RENT3.SA,EQ,
Magazine Luiza SA,Consumer Discretionary,MGLU3.SA,EQ,
Lojas Renner SA,Consumer Discretionary,LREN3.SA,EQ,
Via Varejo SA (Casas Bahia),Consumer Discretionary,BHIA3.SA,EQ,
Cia Brasileira de Distribuicao,Consumer Staples,PCAR3.SA,EQ,
Assai Atacadista SA,Consumer Staples,ASAI3.SA,EQ,
Grupo Mateus SA,Consumer Staples,GMAT3.SA,EQ,
Totvs SA,Technology,TOTS3.SA,EQ,
Positivo Tecnologia SA,Technology,POSI3.SA,EQ,
Locaweb Servicos de Internet SA,Technology,LWSA3.SA,EQ,
EMBRAER SA,Industrials,EMBR3.SA,EQ,
TIM SA,Communication Services,TIMS3.SA,EQ,
Telefonica Brasil SA (Vivo),Communication Services,VIVT3.SA,EQ,
Oi SA,Communication Services,OIBR3.SA,EQ,
Grupo Globo,Communication Services,GZIT3.SA,EQ,
Rumo SA,Industrials,RAIL3.SA,EQ,
CCR SA,Industrials,CCRO3.SA,EQ,
Azul SA,Industrials,AZUL4.SA,EQ,
GOL Linhas Aereas Inteligentes SA,Industrials,GOLL4.SA,EQ,
Localfrio SA,Industrials,LCAM3.SA,EQ,
Randoncorp Participacoes SA,Industrials,RAPT4.SA,EQ,
Marcopolo SA,Industrials,POMO4.SA,EQ,
Tegma Gestao Logistica SA,Industrials,TGMA3.SA,EQ,
MRV Engenharia e Participacoes SA,Real Estate,MRVE3.SA,EQ,
Cyrela Brazil Realty SA,Real Estate,CYRE3.SA,EQ,
CTEEP - Cia de Transmissao de Energia Eletrica Paulista,Utilities,TRPL4.SA,EQ,
EcoRodovias SA,Real Estate,ECOR3.SA,EQ,
Multiplan Empreendimentos Imobiliarios SA,Real Estate,MULT3.SA,EQ,
Iguatemi SA,Real Estate,IGTI11.SA,EQ,
Cemig Geracao e Transmissao SA PN,Utilities,CMIG4.SA,EQ,
Energisa SA,Utilities,ENGI11.SA,EQ,
CPFL Energia SA,Utilities,CPFE3.SA,EQ,
Eletrobras SA,Utilities,ELET3.SA,EQ,
Sabesp (Cia de Saneamento Basico do Estado de SP),Utilities,SBSP3.SA,EQ,
Sanepar SA,Utilities,SAPR11.SA,EQ,
Taesa - Transmissora Alianca de Energia Eletrica SA,Utilities,TAEE11.SA,EQ,
Equatorial Energia SA,Utilities,EQTL3.SA,EQ,
AES Brasil Energia SA,Utilities,AESB3.SA,EQ,
Fleury SA,Health Care,FLRY3.SA,EQ,
Rede D'Or Sao Luiz SA,Health Care,RDOR3.SA,EQ,
Notre Dame Intermedica Participacoes SA,Health Care,GNDI3.SA,EQ,
Odontoprev SA,Health Care,ODPV3.SA,EQ,
Hypera SA,Health Care,HYPE3.SA,EQ,
Blau Farmaceutica SA,Health Care,BLAU3.SA,EQ,
Cogna Educacao SA,Consumer Discretionary,COGN3.SA,EQ,
Yduqs Participacoes SA,Consumer Discretionary,YDUQ3.SA,EQ,
Ser Educacional SA,Consumer Discretionary,SEER3.SA,EQ,
Banco Inter SA,Financials,INBR32.SA,EQ,
Banco Pan SA,Financials,BPAN4.SA,EQ,
Banrisul SA PN,Financials,BRSR6.SA,EQ,
BR Properties SA,Real Estate,BRPR3.SA,EQ,
Bradespar SA PN,Materials,BRAP4.SA,EQ,
CESP Cia Energetica de Sao Paulo,Utilities,CESP6.SA,EQ,
Cia Paranaense de Energia PN,Utilities,CPLE6.SA,EQ,
Cia Paranaense de Energia ON,Utilities,CPLE3.SA,EQ,
Copasa MG,Utilities,CSMG3.SA,EQ,
Copel ON,Utilities,CPLE11.SA,EQ,
CPFL Renovaveis SA,Utilities,CPRE3.SA,EQ,
CR2 Empreendimentos Imobiliarios SA,Real Estate,CRDE3.SA,EQ,
CVC Brasil Operadora Turistica SA,Consumer Discretionary,CVCB3.SA,EQ,
Direcional Engenharia SA,Real Estate,DIRR3.SA,EQ,
Even Construtora e Incorporadora SA,Real Estate,EVEN3.SA,EQ,
Ez Tec Empreendimentos Participacoes,Real Estate,EZTC3.SA,EQ,
Gerdau Metalurgica SA ON,Materials,GOAU3.SA,EQ,
Grupo Natura & Co Holding SA,Consumer Staples,NTCO3.SA,EQ,
Hidrovias do Brasil SA,Industrials,HBSA3.SA,EQ,
Irani Papel e Embalagem SA,Materials,RANI3.SA,EQ,
IRB Brasil Resseguros SA,Financials,IRBR3.SA,EQ,
Itausa SA PN,Financials,ITSA4.SA,EQ,
JSL SA,Industrials,JSLG3.SA,EQ,
Light SA,Utilities,LIGT3.SA,EQ,
Log Commercial Properties SA,Real Estate,LOGG3.SA,EQ,
Lojas Americanas SA,Consumer Discretionary,LAME4.SA,EQ,
Mahle-Metal Leve SA,Industrials,LEVE3.SA,EQ,
Marisa Lojas SA,Consumer Discretionary,AMAR3.SA,EQ,
