Company Name,Industry,Symbol,Series,ISIN Code
Localiza Rent a Car SA,Consumer Discretionary,RENT3.SA,EQ,
Magazine Luiza SA,Consumer Discretionary,MGLU3.SA,EQ,
Lojas Renner SA,Consumer Discretionary,LREN3.SA,EQ,
Via Varejo SA (Casas Bahia),Consumer Discretionary,BHIA3.SA,EQ,
Cogna Educacao SA,Consumer Discretionary,COGN3.SA,EQ,
Yduqs Participacoes SA,Consumer Discretionary,YDUQ3.SA,EQ,
Ser Educacional SA,Consumer Discretionary,SEER3.SA,EQ,
CVC Brasil Operadora Turistica SA,Consumer Discretionary,CVCB3.SA,EQ,
Lojas Americanas SA,Consumer Discretionary,LAME4.SA,EQ,
Marisa Lojas SA,Consumer Discretionary,AMAR3.SA,EQ,
Movida Participacoes SA,Consumer Discretionary,MOVI3.SA,EQ,
Via Varejo SA,Consumer Discretionary,VIIA3.SA,EQ,
Vivara Participacoes SA,Consumer Discretionary,VIVA3.SA,EQ,
Zamp SA,Consumer Discretionary,ZAMP3.SA,EQ,
