Company Name,Industry,Symbol,Series,ISIN Code
Ambev SA,Consumer Staples,ABEV3.SA,EQ,
JBS SA,Consumer Staples,JBSS3.SA,EQ,
BRF SA,Consumer Staples,BRFS3.SA,EQ,
Marfrig Global Foods SA,Consumer Staples,MRFG3.SA,EQ,
Minerva Foods SA,Consumer Staples,BEEF3.SA,EQ,
Sao Martinho SA,Consumer Staples,SMTO3.SA,EQ,
Camil Alimentos SA,Consumer Staples,CAML3.SA,EQ,
M Dias Branco SA,Consumer Staples,MDIA3.SA,EQ,
Cia Brasileira de Distribuicao,Consumer Staples,PCAR3.SA,EQ,
Assai Atacadista SA,Consumer Staples,ASAI3.SA,EQ,
Grupo Mateus SA,Consumer Staples,GMAT3.SA,EQ,
Grupo Natura & Co Holding SA,Consumer Staples,NTCO3.SA,EQ,
Raia Drogasil SA,Consumer Staples,RADL3.SA,EQ,
SLC Agricola SA,Consumer Staples,SLCE3.SA,EQ,
Spar Group Ltd,Consumer Staples,SPAI3.SA,EQ,
Tenda Atacado SA,Consumer Staples,TSML3.SA,EQ,
