Company Name,Industry,Symbol,Series,ISIN Code
Itau Unibanco Holding SA PN,Financials,ITUB4.SA,EQ,
Banco Bradesco SA PN,Financials,BBDC4.SA,EQ,
Banco do Brasil SA,Financials,BBAS3.SA,EQ,
Banco Santander Brasil SA,Financials,SANB11.SA,EQ,
XP Inc. Class A,Financials,XPBR31.SA,EQ,
B3 SA - Brasil Bolsa Balcao,Financials,B3SA3.SA,EQ,
BTG Pactual SA,Financials,BPAC11.SA,EQ,
Porto Seguro SA,Financials,PSSA3.SA,EQ,
BB Seguridade Participacoes SA,Financials,BBSE3.SA,EQ,
Cielo SA,Financials,CIEL3.SA,EQ,
SulAmerica SA,Financials,SULA11.SA,EQ,
Banco Inter SA,Financials,INBR32.SA,EQ,
Banco Pan SA,Financials,BPAN4.SA,EQ,
Banrisul SA PN,Financials,BRSR6.SA,EQ,
IRB Brasil Resseguros SA,Financials,IRBR3.SA,EQ,
Itausa SA PN,Financials,ITSA4.SA,EQ,
