Company Name,Industry,Symbol,Series,ISIN Code
WEG SA,Industrials,WEGE3.SA,EQ,
EMBRAER SA,Industrials,EMBR3.SA,EQ,
Rumo SA,Industrials,RAIL3.SA,EQ,
CCR SA,Industrials,CCRO3.SA,EQ,
Azul SA,Industrials,AZUL4.SA,EQ,
GOL Linhas Aereas Inteligentes SA,Industrials,GOLL4.SA,EQ,
Localfrio SA,Industrials,LCAM3.SA,EQ,
Randoncorp Participacoes SA,Industrials,RAPT4.SA,EQ,
Marcopolo SA,Industrials,POMO4.SA,EQ,
Tegma Gestao Logistica SA,Industrials,TGMA3.SA,EQ,
Hidrovias do Brasil SA,Industrials,HBSA3.SA,EQ,
JSL SA,Industrials,JSLG3.SA,EQ,
Mahle-Metal Leve SA,Industrials,LEVE3.SA,EQ,
Mills Estruturas e Servicos de Engenharia,Industrials,MILS3.SA,EQ,
Santos Brasil Participacoes SA,Industrials,STBP3.SA,EQ,
Simpar SA,Industrials,SIMH3.SA,EQ,
Tupy SA,Industrials,TUPY3.SA,EQ,
