Company Name,Industry,Symbol,Series,ISIN Code
Vale SA,Materials,VALE3.SA,EQ,
Gerdau SA PN,Materials,GGBR4.SA,EQ,
Metalurgica Gerdau SA PN,Materials,GOAU4.SA,EQ,
Braskem SA PN,Materials,BRKM5.SA,EQ,
Suzano SA,Materials,SUZB3.SA,EQ,
Klabin SA,Materials,KLBN11.SA,EQ,
Dexco SA,Materials,DXCO3.SA,EQ,
Usinas Siderurgicas de Minas Gerais SA PN,Materials,USIM5.SA,EQ,
Companhia Siderurgica Nacional SA,Materials,CSNA3.SA,EQ,
CBA - Companhia Brasileira de Aluminio,Materials,CBAV3.SA,EQ,
Bradespar SA PN,Materials,BRAP4.SA,EQ,
Gerdau Metalurgica SA ON,Materials,GOAU3.SA,EQ,
Irani Papel e Embalagem SA,Materials,RANI3.SA,EQ,
Tronox Holdings plc,Materials,TROX3.SA,EQ,
