Company Name,Industry,Symbol,Series,ISIN Code
MRV Engenharia e Participacoes SA,Real Estate,MRVE3.SA,EQ,
Cyrela Brazil Realty SA,Real Estate,CYRE3.SA,EQ,
EcoRodovias SA,Real Estate,ECOR3.SA,EQ,
Multiplan Empreendimentos Imobiliarios SA,Real Estate,MULT3.SA,EQ,
Iguatemi SA,Real Estate,IGTI11.SA,EQ,
BR Properties SA,Real Estate,BRPR3.SA,EQ,
CR2 Empreendimentos Imobiliarios SA,Real Estate,CRDE3.SA,EQ,
Direcional Engenharia SA,Real Estate,DIRR3.SA,EQ,
Even Construtora e Incorporadora SA,Real Estate,EVEN3.SA,EQ,
Ez Tec Empreendimentos Participacoes,Real Estate,EZTC3.SA,EQ,
Log Commercial Properties SA,Real Estate,LOGG3.SA,EQ,
Mitre Realty Empreendimentos SA,Real Estate,MTRE3.SA,EQ,
Plano e Plano Desenvolvimento Imobiliario,Real Estate,PLPL3.SA,EQ,
Tenda Construtora SA,Real Estate,TEND3.SA,EQ,
