Company Name,Industry,Symbol,Series,ISIN Code
ENGIE Brasil Energia SA,Utilities,EGIE3.SA,EQ,
CTEEP - Cia de Transmissao de Energia Eletrica Paulista,Utilities,TRPL4.SA,EQ,
Cemig Geracao e Transmissao SA PN,Utilities,CMIG4.SA,EQ,
Energisa SA,Utilities,ENGI11.SA,EQ,
CPFL Energia SA,Utilities,CPFE3.SA,EQ,
Eletrobras SA,Utilities,ELET3.SA,EQ,
Sabesp (Cia de Saneamento Basico do Estado de SP),Utilities,SBSP3.SA,EQ,
Sanepar SA,Utilities,SAPR11.SA,EQ,
Taesa - Transmissora Alianca de Energia Eletrica SA,Utilities,TAEE11.SA,EQ,
Equatorial Energia SA,Utilities,EQTL3.SA,EQ,
AES Brasil Energia SA,Utilities,AESB3.SA,EQ,
CESP Cia Energetica de Sao Paulo,Utilities,CESP6.SA,EQ,
Cia Paranaense de Energia PN,Utilities,CPLE6.SA,EQ,
Cia Paranaense de Energia ON,Utilities,CPLE3.SA,EQ,
Copasa MG,Utilities,CSMG3.SA,EQ,
Copel ON,Utilities,CPLE11.SA,EQ,
CPFL Renovaveis SA,Utilities,CPRE3.SA,EQ,
Light SA,Utilities,LIGT3.SA,EQ,
