Company Name,Industry,Symbol,Series,ISIN Code
Alimentation Couche-Tard Inc.,Consumer Discretionary,ATD.TO,EQ,
Aritzia Inc.,Consumer Discretionary,ATZ.TO,EQ,
BRP Inc.,Consumer Discretionary,DOO.TO,EQ,
Boyd Group Services Inc.,Consumer Discretionary,BYD.TO,EQ,
CCL Industries Inc.,Consumer Discretionary,CCL-B.TO,EQ,
Canadian Tire Corporation Limited,Consumer Discretionary,CTC-A.TO,EQ,
Gildan Activewear Inc.,Consumer Discretionary,GIL.TO,EQ,
Linamar Corporation,Consumer Discretionary,LNR.TO,EQ,
Magna International Inc.,Consumer Discretionary,MG.TO,EQ,
NFI Group Inc.,Consumer Discretionary,NFI.TO,EQ,
Pet Valu Holdings Ltd.,Consumer Discretionary,PET.TO,EQ,
Restaurant Brands International Inc.,Consumer Discretionary,QSR.TO,EQ,
Richelieu Hardware Ltd.,Consumer Discretionary,RCH.TO,EQ,
Transcontinental Inc.,Consumer Discretionary,TCL-A.TO,EQ,
Winpak Ltd.,Consumer Discretionary,WPK.TO,EQ,
