Company Name,Industry,Symbol,Series,ISIN Code
Dollarama Inc.,Consumer Staples,DOL.TO,EQ,
Empire Company Limited,Consumer Staples,EMP-A.TO,EQ,
George Weston Limited,Consumer Staples,WN.TO,EQ,
Jamieson Wellness Inc.,Consumer Staples,JWEL.TO,EQ,
Loblaw Companies Limited,Consumer Staples,L.TO,EQ,
Maple Leaf Foods Inc.,Consumer Staples,MFI.TO,EQ,
Metro Inc.,Consumer Staples,MRU.TO,EQ,
North West Company Inc.,Consumer Staples,NWC.TO,EQ,
Premium Brands Holdings Corporation,Consumer Staples,PBH.TO,EQ,
Saputo Inc.,Consumer Staples,SAP.TO,EQ,
