Company Name,Industry,Symbol,Series,ISIN Code
ARC Resources Ltd.,Energy,ARX.TO,EQ,
Advantage Energy Ltd.,Energy,AAV.TO,EQ,
AltaGas Ltd.,Energy,ALA.TO,EQ,
Athabasca Oil Corporation,Energy,ATH.TO,EQ,
Baytex Energy Corp.,Energy,BTE.TO,EQ,
Birchcliff Energy Ltd.,Energy,BIR.TO,EQ,
Boralex Inc.,Energy,BLX.TO,EQ,
Brookfield Renewable Partners L.P.,Energy,BEP-UN.TO,EQ,
CES Energy Solutions Corp.,Energy,CEU.TO,EQ,
Cameco Corporation,Energy,CCO.TO,EQ,
Canadian Natural Resources Limited,Energy,CNQ.TO,EQ,
Cenovus Energy Inc.,Energy,CVE.TO,EQ,
Denison Mines Corp.,Energy,DML.TO,EQ,
Enbridge Inc.,Energy,ENB.TO,EQ,
Energy Fuels Inc.,Energy,EFR.TO,EQ,
Freehold Royalties Ltd.,Energy,FRU.TO,EQ,
Gibson Energy Inc.,Energy,GEI.TO,EQ,
Headwater Exploration Inc.,Energy,HWX.TO,EQ,
Imperial Oil Limited,Energy,IMO.TO,EQ,
International Petroleum Corporation,Energy,IPCO.TO,EQ,
Kelt Exploration Ltd.,Energy,KEL.TO,EQ,
Keyera Corp.,Energy,KEY.TO,EQ,
NexGen Energy Ltd.,Energy,NXE.TO,EQ,
Northland Power Inc.,Energy,NPI.TO,EQ,
Paramount Resources Ltd.,Energy,POU.TO,EQ,
Parex Resources Inc.,Energy,PXT.TO,EQ,
Pembina Pipeline Corporation,Energy,PPL.TO,EQ,
Peyto Exploration & Development Corp.,Energy,PEY.TO,EQ,
PrairieSky Royalty Ltd.,Energy,PSK.TO,EQ,
South Bow Corporation,Energy,SOBO.TO,EQ,
Strathcona Resources Ltd.,Energy,SCR.TO,EQ,
Suncor Energy Inc.,Energy,SU.TO,EQ,
TC Energy Corporation,Energy,TRP.TO,EQ,
Tamarack Valley Energy Ltd.,Energy,TVE.TO,EQ,
TerraVest Industries Inc.,Energy,TVK.TO,EQ,
Topaz Energy Corp.,Energy,TPZ.TO,EQ,
Tourmaline Oil Corp.,Energy,TOU.TO,EQ,
Vermilion Energy Inc.,Energy,VET.TO,EQ,
Whitecap Resources Inc.,Energy,WCP.TO,EQ,
