Company Name,Industry,Symbol,Series,ISIN Code
Bank of Montreal,Financials,BMO.TO,EQ,
Bank of Nova Scotia,Financials,BNS.TO,EQ,
Brookfield Asset Management Ltd.,Financials,BAM.TO,EQ,
Brookfield Corporation,Financials,BN.TO,EQ,
Canadian Imperial Bank of Commerce,Financials,CM.TO,EQ,
Definity Financial Corporation,Financials,DFY.TO,EQ,
EQB Inc.,Financials,EQB.TO,EQ,
Fairfax Financial Holdings Limited,Financials,FFH.TO,EQ,
Great-West Lifeco Inc.,Financials,GWO.TO,EQ,
IGM Financial Inc.,Financials,IGM.TO,EQ,
Intact Financial Corporation,Financials,IFC.TO,EQ,
Laurentian Bank of Canada,Financials,LB.TO,EQ,
Manulife Financial Corporation,Financials,MFC.TO,EQ,
National Bank of Canada,Financials,nan.TO,EQ,
Onex Corporation,Financials,ONEX.TO,EQ,
Power Corporation of Canada,Financials,POW.TO,EQ,
Royal Bank of Canada,Financials,RY.TO,EQ,
Sprott Inc.,Financials,SII.TO,EQ,
Sun Life Financial Inc.,Financials,SLF.TO,EQ,
TMX Group Limited,Financials,X.TO,EQ,
Toronto-Dominion Bank,Financials,TD.TO,EQ,
Trisura Group Ltd.,Financials,TSU.TO,EQ,
goeasy Ltd.,Financials,GSY.TO,EQ,
iA Financial Corporation Inc.,Financials,IAG.TO,EQ,
