Company Name,Industry,Symbol,Series,ISIN Code
ATS Corporation,Industrials,ATS.TO,EQ,
Aecon Group Inc.,Industrials,ARE.TO,EQ,
Air Canada,Industrials,AC.TO,EQ,
AtkinsRéalis Group Inc.,Industrials,ATRL.TO,EQ,
Badger Infrastructure Solutions Ltd.,Industrials,BDGI.TO,EQ,
Bird Construction Inc.,Industrials,BDT.TO,EQ,
Bombardier Inc.,Industrials,BBD-B.TO,EQ,
Brookfield Business Corporation,Industrials,BBUC.TO,EQ,
CAE Inc.,Industrials,CAE.TO,EQ,
Canadian National Railway Company,Industrials,CNR.TO,EQ,
Canadian Pacific Kansas City Limited,Industrials,CP.TO,EQ,
Cargojet Inc.,Industrials,CJT.TO,EQ,
Element Fleet Management Corp.,Industrials,EFN.TO,EQ,
Equifax Inc.,Industrials,EFX.TO,EQ,
Exchange Income Corporation,Industrials,EIF.TO,EQ,
Finning International Inc.,Industrials,FTT.TO,EQ,
GFL Environmental Inc.,Industrials,GFL.TO,EQ,
MDA Space Ltd.,Industrials,MDA.TO,EQ,
Mullen Group Ltd.,Industrials,MTL.TO,EQ,
"RB Global, Inc.",Industrials,RBA.TO,EQ,
Russel Metals Inc.,Industrials,RUS.TO,EQ,
Secure Energy Services Inc.,Industrials,SES.TO,EQ,
Stantec Inc.,Industrials,STN.TO,EQ,
TFI International Inc.,Industrials,TFII.TO,EQ,
Thomson Reuters Corporation,Industrials,TRI.TO,EQ,
Toromont Industries Ltd.,Industrials,TIH.TO,EQ,
WSP Global Inc.,Industrials,WSP.TO,EQ,
Waste Connections Inc.,Industrials,WCN.TO,EQ,
