Company Name,Industry,Symbol,Series,ISIN Code
5N Plus Inc.,Materials,VNP.TO,EQ,
AbraSilver Resource Corp.,Materials,ABRA.TO,EQ,
Agnico Eagle Mines Limited,Materials,AEM.TO,EQ,
Alamos Gold Inc.,Materials,AGI.TO,EQ,
Allied Gold Corporation,Materials,AAUC.TO,EQ,
Americas Gold And Silver Corporation,Materials,USA.TO,EQ,
Aris Mining Corporation,Materials,ARIS.TO,EQ,
Avino Silver & Gold Mines Ltd.,Materials,ASM.TO,EQ,
Aya Gold & Silver Inc.,Materials,AYA.TO,EQ,
B2Gold Corp.,Materials,BTO.TO,EQ,
Barrick Gold Corporation,Materials,ABX.TO,EQ,
Capstone Copper Corp.,Materials,CS.TO,EQ,
Centerra Gold Inc.,Materials,CG.TO,EQ,
Discovery Silver Corp.,Materials,DSV.TO,EQ,
Dundee Precious Metals Inc.,Materials,DPM.TO,EQ,
Eldorado Gold Corporation,Materials,ELD.TO,EQ,
Endeavour Silver Corp.,Materials,EDR.TO,EQ,
Equinox Gold Corp.,Materials,EQX.TO,EQ,
Ero Copper Corp.,Materials,ERO.TO,EQ,
First Majestic Silver Corp.,Materials,AG.TO,EQ,
First Quantum Minerals Ltd.,Materials,FM.TO,EQ,
Fortuna Mining Corp.,Materials,FVI.TO,EQ,
Franco-Nevada Corporation,Materials,FNV.TO,EQ,
G Mining Ventures Corp.,Materials,GMIN.TO,EQ,
Hudbay Minerals Inc.,Materials,HBM.TO,EQ,
I-80 Gold Corp.,Materials,IAU.TO,EQ,
Iamgold Corporation,Materials,IMG.TO,EQ,
Ivanhoe Mines Ltd.,Materials,IVN.TO,EQ,
K92 Mining Inc.,Materials,KNT.TO,EQ,
Kinross Gold Corporation,Materials,K.TO,EQ,
Labrador Iron Ore Royalty Corporation,Materials,LIF.TO,EQ,
Lithium Americas Corp.,Materials,LAC.TO,EQ,
Lundin Gold Inc.,Materials,LUG.TO,EQ,
Lundin Mining Corporation,Materials,LUN.TO,EQ,
Methanex Corporation,Materials,MX.TO,EQ,
Montage Gold Corp.,Materials,MAU.TO,EQ,
NGEx Minerals Ltd.,Materials,NGEX.TO,EQ,
NovaGold Resources Inc.,Materials,NG.TO,EQ,
Nutrien Ltd.,Materials,NTR.TO,EQ,
OceanaGold Corporation,Materials,OGC.TO,EQ,
Orla Mining Ltd.,Materials,OLA.TO,EQ,
Osisko Gold Royalties Ltd.,Materials,OR.TO,EQ,
Pan American Silver Corp.,Materials,PAAS.TO,EQ,
Perpetua Resources Corp.,Materials,PPTA.TO,EQ,
SSR Mining Inc.,Materials,SSRM.TO,EQ,
Seabridge Gold Inc.,Materials,SEA.TO,EQ,
Silvercorp Metals Inc.,Materials,SVM.TO,EQ,
Skeena Resources Limited,Materials,SKE.TO,EQ,
Stella-Jones Inc.,Materials,SJ.TO,EQ,
Taseko Mines Limited,Materials,TKO.TO,EQ,
Teck Resources Limited,Materials,TECK-B.TO,EQ,
Torex Gold Resources Inc.,Materials,TXG.TO,EQ,
Triple Flag Precious Metals Corp.,Materials,TFPM.TO,EQ,
Vizsla Silver Corp.,Materials,VZLA.TO,EQ,
Wesdome Gold Mines Ltd.,Materials,WDO.TO,EQ,
West Fraser Timber Co. Ltd.,Materials,WFG.TO,EQ,
Wheaton Precious Metals Corp.,Materials,WPM.TO,EQ,
