Company Name,Industry,Symbol,Series,ISIN Code
Allied Properties Real Estate Investment Trust,Real Estate,AP-UN.TO,EQ,
Altus Group Limited,Real Estate,AIF.TO,EQ,
Boardwalk Real Estate Investment Trust,Real Estate,BEI-UN.TO,EQ,
CT Real Estate Investment Trust,Real Estate,CRT-UN.TO,EQ,
Canadian Apartment Properties Real Estate Investment Trust,Real Estate,CAR-UN.TO,EQ,
Chartwell Retirement Residences,Real Estate,CSH-UN.TO,EQ,
Choice Properties Real Estate Investment Trust,Real Estate,CHP-UN.TO,EQ,
Colliers International Group Inc.,Real Estate,CIGI.TO,EQ,
Crombie Real Estate Investment Trust,Real Estate,CRR-UN.TO,EQ,
Dream Industrial Real Estate Investment Trust,Real Estate,DIR-UN.TO,EQ,
First Capital Real Estate Investment Trust,Real Estate,FCR-UN.TO,EQ,
FirstService Corporation,Real Estate,FSV.TO,EQ,
Granite Real Estate Investment Trust,Real Estate,GRT-UN.TO,EQ,
H&R Real Estate Investment Trust,Real Estate,HR-UN.TO,EQ,
InterRent Real Estate Investment Trust,Real Estate,IIP-UN.TO,EQ,
Killam Apartment Real Estate Investment Trust,Real Estate,KMP-UN.TO,EQ,
Primaris Real Estate Investment Trust,Real Estate,PMZ-UN.TO,EQ,
RioCan Real Estate Investment Trust,Real Estate,REI-UN.TO,EQ,
SmartCentres Real Estate Investment Trust,Real Estate,SRU-UN.TO,EQ,
Vital Infrastructure Property Trust.,Real Estate,VITL-UN.TO,EQ,
