Company Name,Industry,Symbol,Series,ISIN Code
Royal Bank of Canada,Financials,RY.TO,EQ,
Toronto-Dominion Bank,Financials,TD.TO,EQ,
Bank of Montreal,Financials,BMO.TO,EQ,
Canadian Imperial Bank of Commerce,Financials,CM.TO,EQ,
Bank of Nova Scotia,Financials,BNS.TO,EQ,
Brookfield Corporation,Financials,BN.TO,EQ,
Manulife Financial Corporation,Financials,MFC.TO,EQ,
Brookfield Asset Management Ltd. Class A,Financials,BAM.TO,EQ,
National Bank of Canada,Financials,NA.TO,EQ,
Sun Life Financial Inc.,Financials,SLF.TO,EQ,
Power Corporation of Canada,Financials,POW.TO,EQ,
Fairfax Financial Holdings Limited,Financials,FFH.TO,EQ,
Intact Financial Corporation,Financials,IFC.TO,EQ,
FirstService Corporation,Financials,FSV.TO,EQ,
Great-West Lifeco Inc.,Financials,GWO.TO,EQ,
Agnico Eagle Mines Limited,Materials,AEM.TO,EQ,
Barrick Mining Corporation,Materials,ABX.TO,EQ,
Wheaton Precious Metals Corp,Materials,WPM.TO,EQ,
Cameco Corporation,Materials,CCO.TO,EQ,
Franco-Nevada Corporation,Materials,FNV.TO,EQ,
First Quantum Minerals Ltd.,Materials,FM.TO,EQ,
Kinross Gold Corporation,Materials,K.TO,EQ,
Nutrien Ltd.,Materials,NTR.TO,EQ,
Canadian Natural Resources Limited,Energy,CNQ.TO,EQ,
Suncor Energy Inc.,Energy,SU.TO,EQ,
Imperial Oil Limited,Energy,IMO.TO,EQ,
Cenovus Energy Inc.,Energy,CVE.TO,EQ,
Tourmaline Oil Corp.,Energy,TOU.TO,EQ,
Pembina Pipeline Corporation,Energy,PPL.TO,EQ,
Shopify Inc. Class A,Technology,SHOP.TO,EQ,
Enbridge Inc.,Industrials,ENB.TO,EQ,
TC Energy Corporation,Industrials,TRP.TO,EQ,
"Waste Connections, Inc.",Industrials,WCN.TO,EQ,
WSP Global Inc.,Industrials,WSP.TO,EQ,
Canadian Pacific Kansas City Limited,Transportation,CP.TO,EQ,
Canadian National Railway Company,Transportation,CNR.TO,EQ,
BCE Inc.,Communication Services,BCE.TO,EQ,
Rogers Communications Inc. Class B,Communication Services,RCI.B.TO,EQ,
Telus Corporation,Communication Services,T.TO,EQ,
Fortis Inc.,Utilities,FTS.TO,EQ,
Hydro One Limited,Utilities,H.TO,EQ,
Brookfield Infrastructure Partners L.P.,Utilities,BIP.UN.TO,EQ,
Emera Incorporated,Utilities,EMA.TO,EQ,
Alimentation Couche-Tard Inc.,Consumer Discretionary,ATD.TO,EQ,
Loblaw Companies Limited,Consumer Discretionary,L.TO,EQ,
Dollarama Inc.,Consumer Discretionary,DOL.TO,EQ,
"Restaurant Brands International, Inc.",Consumer Discretionary,QSR.TO,EQ,
George Weston Limited,Consumer Discretionary,WN.TO,EQ,
Metro Inc.,Consumer Discretionary,MRU.TO,EQ,
Gildan Activewear Inc.,Consumer Staples,GIL.TO,EQ,
Saputo Inc.,Consumer Staples,SAP.TO,EQ,
Constellation Software Inc.,Technology,CSU.TO,EQ,
Thomson Reuters Corporation,Technology,TRI.TO,EQ,
Open Text Corporation,Technology,OTEX.TO,EQ,
CGI Inc. Class A,Technology,GIB.A.TO,EQ,
