Company Name,Industry,Symbol,Series,ISIN Code
Royal Bank of Canada,Financials,RY.TO,EQ,
Toronto-Dominion Bank,Financials,TD.TO,EQ,
Bank of Montreal,Financials,BMO.TO,EQ,
Canadian Imperial Bank of Commerce,Financials,CM.TO,EQ,
Bank of Nova Scotia,Financials,BNS.TO,EQ,
Brookfield Corporation,Financials,BN.TO,EQ,
Manulife Financial Corporation,Financials,MFC.TO,EQ,
Brookfield Asset Management Ltd. Class A,Financials,BAM.TO,EQ,
National Bank of Canada,Financials,NA.TO,EQ,
Sun Life Financial Inc.,Financials,SLF.TO,EQ,
Power Corporation of Canada,Financials,POW.TO,EQ,
Fairfax Financial Holdings Limited,Financials,FFH.TO,EQ,
Intact Financial Corporation,Financials,IFC.TO,EQ,
FirstService Corporation,Financials,FSV.TO,EQ,
Great-West Lifeco Inc.,Financials,GWO.TO,EQ,
iA Financial Corporation Inc.,Financials,IAG.TO,EQ,
Agnico Eagle Mines Limited,Materials,AEM.TO,EQ,
Barrick Mining Corporation,Materials,ABX.TO,EQ,
Wheaton Precious Metals Corp,Materials,WPM.TO,EQ,
Cameco Corporation,Materials,CCO.TO,EQ,
Franco-Nevada Corporation,Materials,FNV.TO,EQ,
First Quantum Minerals Ltd.,Materials,FM.TO,EQ,
Kinross Gold Corporation,Materials,K.TO,EQ,
Nutrien Ltd.,Materials,NTR.TO,EQ,
Teck Resources Limited Class B,Materials,TECK.B.TO,EQ,
CCL Industries Inc. Class B,Materials,CCL.B.TO,EQ,
Finning International Inc.,Materials,FTT.TO,EQ,
Canadian Natural Resources Limited,Energy,CNQ.TO,EQ,
Suncor Energy Inc.,Energy,SU.TO,EQ,
Imperial Oil Limited,Energy,IMO.TO,EQ,
Cenovus Energy Inc.,Energy,CVE.TO,EQ,
Tourmaline Oil Corp.,Energy,TOU.TO,EQ,
Pembina Pipeline Corporation,Energy,PPL.TO,EQ,
Arc Resources Ltd.,Energy,ARX.TO,EQ,
Shopify Inc. Class A,Technology,SHOP.TO,EQ,
Enbridge Inc.,Industrials,ENB.TO,EQ,
TC Energy Corporation,Industrials,TRP.TO,EQ,
"Waste Connections, Inc.",Industrials,WCN.TO,EQ,
WSP Global Inc.,Industrials,WSP.TO,EQ,
Magna International Inc.,Industrials,MG.TO,EQ,
CAE Inc.,Industrials,CAE.TO,EQ,
Stantec Inc.,Industrials,STN.TO,EQ,
Toromont Industries Ltd.,Industrials,TIH.TO,EQ,
Canadian Pacific Kansas City Limited,Transportation,CP.TO,EQ,
Canadian National Railway Company,Transportation,CNR.TO,EQ,
Air Canada,Transportation,AC.TO,EQ,
Cargojet Inc.,Transportation,CJT.TO,EQ,
BCE Inc.,Communication Services,BCE.TO,EQ,
Rogers Communications Inc. Class B,Communication Services,RCI.B.TO,EQ,
Telus Corporation,Communication Services,T.TO,EQ,
Fortis Inc.,Utilities,FTS.TO,EQ,
Hydro One Limited,Utilities,H.TO,EQ,
Brookfield Infrastructure Partners L.P.,Utilities,BIP.UN.TO,EQ,
Emera Incorporated,Utilities,EMA.TO,EQ,
AltaGas Ltd.,Utilities,ALA.TO,EQ,
Capital Power Corporation,Utilities,CPX.TO,EQ,
Alimentation Couche-Tard Inc.,Consumer Discretionary,ATD.TO,EQ,
Loblaw Companies Limited,Consumer Discretionary,L.TO,EQ,
Dollarama Inc.,Consumer Discretionary,DOL.TO,EQ,
"Restaurant Brands International, Inc.",Consumer Discretionary,QSR.TO,EQ,
George Weston Limited,Consumer Discretionary,WN.TO,EQ,
Metro Inc.,Consumer Discretionary,MRU.TO,EQ,
"Canadian Tire Corporation, Limited Class A",Consumer Discretionary,CTC.A.TO,EQ,
Gildan Activewear Inc.,Consumer Staples,GIL.TO,EQ,
Saputo Inc.,Consumer Staples,SAP.TO,EQ,
Celestica Inc.,Technology,CLS.TO,EQ,
Constellation Software Inc.,Technology,CSU.TO,EQ,
Thomson Reuters Corporation,Technology,TRI.TO,EQ,
Open Text Corporation,Technology,OTEX.TO,EQ,
CGI Inc. Class A,Technology,GIB.A.TO,EQ,
Jamieson Wellness Inc.,Health Care,JWEL.TO,EQ,
Bausch Health Companies Inc.,Health Care,BHC.TO,EQ,
Canopy Growth Corporation,Health Care,WEED.TO,EQ,
RioCan Real Estate Investment Trust,Real Estate,REI.UN.TO,EQ,
Brookfield Real Estate Partners L.P.,Real Estate,BRE.UN.TO,EQ,
Canadian Apartment Properties REIT,Real Estate,CAR.UN.TO,EQ,
H&R Real Estate Investment Trust,Real Estate,HR.UN.TO,EQ,
SmartCentres REIT,Real Estate,SRU.UN.TO,EQ,
Choice Properties REIT,Real Estate,CHP.UN.TO,EQ,
Slate Grocery REIT,Real Estate,SGR.UN.TO,EQ,
Lithium Americas Corp.,Materials,LAC.TO,EQ,
Denison Mines Corp.,Materials,DML.TO,EQ,
Endeavour Silver Corp.,Materials,EDR.TO,EQ,
Osisko Gold Royalties Ltd.,Materials,OR.TO,EQ,
Lucara Diamond Corp.,Materials,LUC.TO,EQ,
Emerita Resources Corp.,Materials,EMO.V,EQ,
Silvercorp Metals Inc.,Materials,SVM.TO,EQ,
Aya Gold & Silver Inc.,Materials,AYA.TO,EQ,
Adriatic Metals PLC,Materials,ADT1.TO,EQ,
Reunion Gold Corporation,Materials,RGD.V,EQ,
Copper Mountain Mining Corporation,Materials,CMMC.TO,EQ,
Americas Gold and Silver Corp.,Materials,USA.TO,EQ,
Marathon Gold Corporation,Materials,MOZ.TO,EQ,
Troilus Gold Corp.,Materials,TLG.TO,EQ,
Adventus Mining Corporation,Materials,ADZN.V,EQ,
Reconnaissance Energy Africa Ltd.,Energy,RECO.V,EQ,
Perpetua Resources Corp.,Materials,PPTA.TO,EQ,
Xali Gold Corp.,Materials,XGC.V,EQ,
Condor Resources Inc.,Materials,CN.V,EQ,
RCM Capital Markets LLC,Financials,RCM.V,EQ,
HIVE Digital Technologies Ltd.,Technology,HIVE.V,EQ,
Voyageur Pharmaceuticals Ltd.,Health Care,VM.V,EQ,
Codebase Ventures Inc.,Technology,CODE.V,EQ,
International Lithium Corp.,Materials,ILC.V,EQ,
Bravo Mining Corp.,Materials,BRVO.V,EQ,
Osino Resources Corp.,Materials,OSI.V,EQ,
NexGold Mining Corp.,Materials,NEXG.V,EQ,
Snowline Gold Corp.,Materials,SGD.V,EQ,
Minnova Corp.,Materials,MCI.V,EQ,
FPX Nickel Corp.,Materials,FPX.V,EQ,
Ballard Power Systems Inc,Industrials,BLDP.TO,EQ,
Birchcliff Energy Ltd,Energy,BIR.TO,EQ,
Boardwalk REIT,Real Estate,BEI.UN.TO,EQ,
Boyd Group Services Inc,Industrials,BYD.TO,EQ,
Canfor Corporation,Materials,CFP.TO,EQ,
Colliers International Group Inc,Real Estate,CIGI.TO,EQ,
Crombie REIT,Real Estate,CRR.UN.TO,EQ,
Dundee Precious Metals Inc,Materials,DPM.TO,EQ,
Element Fleet Management Corp,Financials,EFN.TO,EQ,
Enghouse Systems Ltd,Technology,ENGH.TO,EQ,
Exchange Income Corporation,Industrials,EIF.TO,EQ,
Fiera Capital Corporation,Financials,FSZ.TO,EQ,
GFL Environmental Inc,Industrials,GFL.TO,EQ,
Gibson Energy Inc,Energy,GEI.TO,EQ,
Granite REIT,Real Estate,GRT.UN.TO,EQ,
Hammond Power Solutions Inc,Industrials,HPS.A.TO,EQ,
Heroux-Devtek Inc,Industrials,HRX.TO,EQ,
IBI Group Inc,Technology,IBG.TO,EQ,
Innergex Renewable Energy Inc,Utilities,INE.TO,EQ,
Interfor Corporation,Materials,IFP.TO,EQ,
Keyera Corp,Energy,KEY.TO,EQ,
Killam Apartment REIT,Real Estate,KMP.UN.TO,EQ,
Kinaxis Inc,Technology,KXS.TO,EQ,
Laurentian Bank of Canada,Financials,LB.TO,EQ,
Leon's Furniture Ltd,Consumer Discretionary,LNF.TO,EQ,
Mattr Corp,Materials,MATR.TO,EQ,
MEG Energy Corp,Energy,MEG.TO,EQ,
Methanex Corporation,Materials,MX.TO,EQ,
MTY Food Group Inc,Consumer Discretionary,MTY.TO,EQ,
NFI Group Inc,Industrials,NFI.TO,EQ,
Northwest Healthcare Properties REIT,Real Estate,NWH.UN.TO,EQ,
Nuvei Corporation,Technology,NVEI.TO,EQ,
Pan American Silver Corp,Materials,PAAS.TO,EQ,
Parex Resources Inc,Energy,PXT.TO,EQ,
Peyto Exploration & Development Corp,Energy,PEY.TO,EQ,
Premium Brands Holdings Corporation,Consumer Staples,PBH.TO,EQ,
Primo Water Corporation,Consumer Staples,PRMW.TO,EQ,
Ritchie Bros Auctioneers Inc,Industrials,RBA.TO,EQ,
Rogers Sugar Inc,Consumer Staples,RSI.TO,EQ,
Rupert Resources Ltd,Materials,RUP.V,EQ,
Seabridge Gold Inc,Materials,SEA.TO,EQ,
Sleep Country Canada Holdings Inc,Consumer Discretionary,ZZZ.TO,EQ,
Stella-Jones Inc,Materials,SJ.TO,EQ,
StorageVault Canada Inc,Real Estate,SVI.V,EQ,
Strad Inc,Industrials,SDY.TO,EQ,
Transcontinental Inc,Communication Services,TCL.A.TO,EQ,
Trisura Group Ltd,Financials,TSU.TO,EQ,
Uni-Select Inc,Consumer Discretionary,UNS.TO,EQ,
West Fraser Timber Co Ltd,Materials,WFG.TO,EQ,
WPT Industrial REIT,Real Estate,WIR.UN.TO,EQ,
Yangarra Resources Ltd,Energy,YGR.TO,EQ,
Carmanah Technologies Corporation,Technology,CMH.V,EQ,
Calian Group Ltd,Technology,CGY.TO,EQ,
Badger Infrastructure Solutions Ltd,Industrials,BDGI.TO,EQ,
Absolute Software Corporation,Technology,ABST.TO,EQ,
Acadian Timber Corp,Materials,ADN.TO,EQ,
ADENTRA Inc,Materials,ADEN.TO,EQ,
Amica Mature Lifestyles Inc,Health Care,ACC.TO,EQ,
Aecon Group Inc,Industrials,ARE.TO,EQ,
Alamos Gold Inc,Materials,AGI.TO,EQ,
Algonquin Power & Utilities Corp,Utilities,AQN.TO,EQ,
Allied Properties REIT,Real Estate,AP.UN.TO,EQ,
Altus Group Ltd,Real Estate,AIF.TO,EQ,
Andrew Peller Ltd Class A,Consumer Staples,ADW.A.TO,EQ,
Atco Ltd Class I,Utilities,ACO.X.TO,EQ,
Baytex Energy Corp,Energy,BTE.TO,EQ,
Canacol Energy Ltd,Energy,CNE.TO,EQ,
Chartwell Retirement Residences,Health Care,CSH.UN.TO,EQ,
Cogeco Communications Inc,Communication Services,CCA.TO,EQ,
Dream Industrial REIT,Real Estate,DIR.UN.TO,EQ,
EQB Inc,Financials,EQB.TO,EQ,
Enerflex Ltd,Energy,EFX.TO,EQ,
Fairfax India Holdings Corporation,Financials,FIH.U.TO,EQ,
First Capital REIT,Real Estate,FCR.UN.TO,EQ,
Foran Mining Corporation,Materials,FOM.V,EQ,
Frontera Energy Corporation,Energy,FEC.TO,EQ,
Hardwoods Distribution Inc,Materials,HDI.TO,EQ,
High Liner Foods Inc,Consumer Staples,HLF.TO,EQ,
Iamgold Corporation,Materials,IMG.TO,EQ,
Information Services Corporation,Technology,ISV.TO,EQ,
Intertape Polymer Group Inc,Materials,ITP.TO,EQ,
Kirkland Lake Gold Ltd,Materials,KL.TO,EQ,
Lightspeed Commerce Inc,Technology,LSPD.TO,EQ,
Lundin Gold Inc,Materials,LUG.TO,EQ,
Lundin Mining Corporation,Materials,LUN.TO,EQ,
Maple Leaf Foods Inc,Consumer Staples,MFI.TO,EQ,
Minto Apartment REIT,Real Estate,MI.UN.TO,EQ,
North American Construction Group Ltd,Industrials,NOA.TO,EQ,
Northern Trust Corporation,Financials,NTRS.TO,EQ,
NuVista Energy Ltd,Energy,NVA.TO,EQ,
Olympia Financial Group Inc,Financials,OLY.TO,EQ,
Onex Corporation,Financials,ONEX.TO,EQ,
Ovintiv Inc,Energy,OVV.TO,EQ,
Park Lawn Corporation,Consumer Discretionary,PLC.TO,EQ,
Perpetual Energy Inc,Energy,PMT.TO,EQ,
Pizza Pizza Royalty Corp,Consumer Discretionary,PZA.TO,EQ,
Primaris REIT,Real Estate,PMZ.UN.TO,EQ,
Profound Medical Corp,Health Care,PRN.TO,EQ,
ProMIS Neurosciences Inc,Health Care,PMN.V,EQ,
Propel Holdings Inc,Financials,PRL.TO,EQ,
Russel Metals Inc,Materials,RUS.TO,EQ,
SNC-Lavalin Group Inc,Industrials,ATRL.TO,EQ,
Savaria Corporation,Health Care,SIS.TO,EQ,
Secure Energy Services Inc,Energy,SES.TO,EQ,
Stelco Holdings Inc,Materials,STLC.TO,EQ,
Surge Energy Inc,Energy,SGY.TO,EQ,
Tamarack Valley Energy Ltd,Energy,TVE.TO,EQ,
TFI International Inc,Industrials,TFII.TO,EQ,
Tidewater Midstream and Infrastructure Ltd,Energy,TWM.TO,EQ,
Tilray Brands Inc,Health Care,TLRY.TO,EQ,
Vermilion Energy Inc,Energy,VET.TO,EQ,
Victoria Gold Corp,Materials,VGCX.TO,EQ,
Viridian Lithium Corp,Materials,VLI.V,EQ,
Wajax Corporation,Industrials,WJX.TO,EQ,
Western Forest Products Inc,Materials,WEF.TO,EQ,
Whitecap Resources Inc,Energy,WCP.TO,EQ,
Zymeworks Inc,Health Care,ZYME.TO,EQ,
