Company Name,Industry,Symbol,Series,ISIN Code
Nestle SA,Consumer Staples,NESN.SW,EQ,
Novartis AG,Health Care,NOVN.SW,EQ,
Roche Holding AG,Health Care,ROG.SW,EQ,
Zurich Insurance Group AG,Financials,ZURN.SW,EQ,
Swiss Re AG,Financials,SREN.SW,EQ,
ABB Ltd,Industrials,ABBN.SW,EQ,
Richemont SA,Consumer Discretionary,CFR.SW,EQ,
Holcim Ltd,Materials,HOLN.SW,EQ,
Lonza Group AG,Health Care,LONN.SW,EQ,
Swiss Life Holding AG,Financials,SLHN.SW,EQ,
UBS Group AG,Financials,UBSG.SW,EQ,
Credit Suisse Group AG,Financials,CSGN.SW,EQ,
Sika AG,Materials,SIKA.SW,EQ,
Partners Group Holding AG,Financials,PGHN.SW,EQ,
Alcon Inc,Health Care,ALC.SW,EQ,
Givaudan SA,Materials,GIVN.SW,EQ,
Kühne + Nagel International AG,Industrials,KNIN.SW,EQ,
Schindler Holding AG,Industrials,SCHP.SW,EQ,
TE Connectivity Ltd,Technology,TEL.SW,EQ,
Sonova Holding AG,Health Care,SOON.SW,EQ,
