Company Name,Industry,Symbol,Series,ISIN Code
Nestle SA,Consumer Staples,NESN.SW,EQ,
Novartis AG,Health Care,NOVN.SW,EQ,
Roche Holding,Health Care,ROG.SW,EQ,
Zurich Insurance Group,Financials,ZURN.SW,EQ,
Swiss Re,Financials,SREN.SW,EQ,
UBS Group,Financials,UBSG.SW,EQ,
Julius Baer Group,Financials,BAER.SW,EQ,
Partners Group,Financials,PGHN.SW,EQ,
Straumann Holding,Health Care,STMN.SW,EQ,
Alcon Inc,Health Care,ALC.SW,EQ,
Sonova Holding,Health Care,SOON.SW,EQ,
Tecan Group,Health Care,TECN.SW,EQ,
Lonza Group,Health Care,LONN.SW,EQ,
Siegfried Holding,Health Care,SFZN.SW,EQ,
ABB Ltd,Industrials,ABBN.SW,EQ,
Schindler Holding,Industrials,SCHN.SW,EQ,
OC Oerlikon,Industrials,OERL.SW,EQ,
Georg Fischer,Industrials,GF.SW,EQ,
Bucher Industries,Industrials,BUCN.SW,EQ,
Geberit AG,Industrials,GEBN.SW,EQ,
Kühne und Nagel,Industrials,KNIN.SW,EQ,
SGS SA,Industrials,SGSN.SW,EQ,
Holcim Group,Materials,HOLN.SW,EQ,
Givaudan SA,Materials,GIVN.SW,EQ,
EMS-Chemie,Materials,EMSN.SW,EQ,
Clariant AG,Materials,CLN.SW,EQ,
Swisscom,Communication Services,SCMN.SW,EQ,
Sunrise Communications,Communication Services,SRCG.SW,EQ,
Swiss Life Holding,Financials,SLHN.SW,EQ,
Helvetia Holding,Financials,HELN.SW,EQ,
Baloise Holding,Financials,BALN.SW,EQ,
Temenos AG,Technology,TEMN.SW,EQ,
U-blox Holding,Technology,UBXN.SW,EQ,
Logitech International,Technology,LOGN.SW,EQ,
Also Holding,Technology,ALSN.SW,EQ,
Richemont,Consumer Discretionary,CFR.SW,EQ,
Swatch Group,Consumer Discretionary,UHR.SW,EQ,
Barry Callebaut,Consumer Staples,BARN.SW,EQ,
Bell Food Group,Consumer Staples,BELL.SW,EQ,
Lindt & Spruengli,Consumer Staples,LISP.SW,EQ,
Flughafen Zurich,Industrials,FHZN.SW,EQ,
BKW AG,Utilities,BKW.SW,EQ,
Alpiq Holding,Utilities,ALPH.SW,EQ,
PSP Swiss Property,Real Estate,PSPN.SW,EQ,
Swiss Prime Site,Real Estate,SPSN.SW,EQ,
VAT Group,Industrials,VACN.SW,EQ,
Comet Holding,Technology,COTN.SW,EQ,
Inficon,Technology,IFCN.SW,EQ,
Adecco Group,Industrials,ADEN.SW,EQ,
DKSH Holding,Industrials,DKSH.SW,EQ,
Galenica,Health Care,GALE.SW,EQ,
Bachem Holding,Health Care,BANB.SW,EQ,
Belimo Holding,Industrials,BEAN.SW,EQ,
Sika AG,Materials,SIKA.SW,EQ,
Dätwyler Holding,Industrials,DAE.SW,EQ,
Interroll Holding,Industrials,INRN.SW,EQ,
Kardex Holding,Industrials,KARN.SW,EQ,
VZ Holding,Financials,VZN.SW,EQ,
Cembra Money Bank,Financials,CMBN.SW,EQ,
EFG International,Financials,EFGN.SW,EQ,
Vontobel Holding,Financials,VONN.SW,EQ,
Mobimo Holding,Real Estate,MOBN.SW,EQ,
Allreal Holding,Real Estate,ALLN.SW,EQ,
