Company Name,Industry,Symbol,Series,ISIN Code
Adecco Group AG,Industrials,ADEN.SW,EQ,
AMS-Osram AG,Technology,AMS.SW,EQ,
Baloise Holding AG,Financials,BALN.SW,EQ,
Barry Callebaut AG,Consumer Staples,BARN.SW,EQ,
Belimo Holding AG,Industrials,BEAN.SW,EQ,
BKW AG,Utilities,BKW.SW,EQ,
Bucher Industries AG,Industrials,BUCN.SW,EQ,
Burckhardt Compression Holding AG,Industrials,BCHN.SW,EQ,
CBRE Clarion Securities,Financials,CBCL.SW,EQ,
Clariant AG,Materials,CLN.SW,EQ,
Dätwyler Holding AG,Industrials,DAE.SW,EQ,
EMS-Chemie Holding AG,Materials,EMSN.SW,EQ,
Flughafen Zürich AG,Industrials,FHZN.SW,EQ,
Helvetia Holding AG,Financials,HELN.SW,EQ,
Huber + Suhner AG,Technology,HUBN.SW,EQ,
Inficon Holding AG,Technology,IFCN.SW,EQ,
Interroll Holding AG,Industrials,INRN.SW,EQ,
Julius Baer Group Ltd,Financials,BAER.SW,EQ,
Kardex Group,Industrials,KARN.SW,EQ,
Landis+Gyr Group AG,Technology,LAND.SW,EQ,
Lindt & Sprungli AG,Consumer Staples,LISP.SW,EQ,
Logitech International SA,Technology,LOGN.SW,EQ,
Mobilezone Holding AG,Consumer Discretionary,MOZN.SW,EQ,
Oerlikon Group,Industrials,OERL.SW,EQ,
PSP Swiss Property AG,Real Estate,PSPN.SW,EQ,
SFS Group AG,Industrials,SFSN.SW,EQ,
Siegfried Holding AG,Health Care,SFZN.SW,EQ,
Straumann Holding AG,Health Care,STMN.SW,EQ,
Swiss Prime Site AG,Real Estate,SPSN.SW,EQ,
Temenos AG,Technology,TEMN.SW,EQ,
