Company Name,Industry,Symbol,Series,ISIN Code
Allianz SE,Financials,ALV.DE,EQ,
Deutsche Bank AG,Financials,DBK.DE,EQ,
Commerzbank AG,Financials,CBK.DE,EQ,
Deutsche Boerse AG,Financials,DB1.DE,EQ,
Muenchener Rueckversicherungs AG,Financials,MUV2.DE,EQ,
Hannover Rueck SE,Financials,HNR1.DE,EQ,
Bayer AG,Health Care,BAYN.DE,EQ,
Merck KGaA,Health Care,MRK.DE,EQ,
Fresenius SE & Co. KGaA,Health Care,FRE.DE,EQ,
Fresenius Medical Care AG & Co. KGaA,Health Care,FME.DE,EQ,
Sartorius AG,Health Care,SRT.DE,EQ,
Beiersdorf AG,Consumer Staples,BEI.DE,EQ,
Henkel AG & Co. KGaA,Consumer Staples,HENKY.DE,EQ,
BMW AG,Consumer Discretionary,BMW.DE,EQ,
Mercedes-Benz Group AG,Consumer Discretionary,MBG.DE,EQ,
Volkswagen AG (Preference),Consumer Discretionary,VOW3.DE,EQ,
Dr. Ing. h.c. F. Porsche AG,Consumer Discretionary,P911.DE,EQ,
Adidas AG,Consumer Discretionary,ADS.DE,EQ,
Zalando SE,Consumer Discretionary,ZAL.DE,EQ,
Siemens AG,Industrials,SIE.DE,EQ,
Deutsche Post AG,Industrials,DPW.DE,EQ,
MTU Aero Engines AG,Industrials,MTX.DE,EQ,
Rheinmetall AG,Industrials,RHM.DE,EQ,
Infineon Technologies AG,Industrials,IFX.DE,EQ,
Continental AG,Industrials,CON.DE,EQ,
KION Group AG,Industrials,KGX.DE,EQ,
Symrise AG,Industrials,SY1.DE,EQ,
SAP SE,Technology,SAP.DE,EQ,
Siemens Energy AG,Technology,ENR.DE,EQ,
BASF SE,Materials,BAS.DE,EQ,
Covestro AG,Materials,1COV.DE,EQ,
Linde plc,Materials,LIN.DE,EQ,
HeidelbergCement AG (Heidelberg Materials),Materials,HEI.DE,EQ,
RWE AG,Energy,RWE.DE,EQ,
E.ON SE,Utilities,EOAN.DE,EQ,
Deutsche Telekom AG,Communication Services,DTE.DE,EQ,
Brenntag SE,Industrials,BNR.DE,EQ,
Vonovia SE,Real Estate,VNA.DE,EQ,
Aareal Bank AG,Financials,ARL.DE,EQ,
Aixtron SE,Technology,AIXA.DE,EQ,
Aroundtown SA,Real Estate,AT1.DE,EQ,
Aurubis AG,Materials,NDA.DE,EQ,
Bechtle AG,Technology,BC8.DE,EQ,
Bijou Brigitte modische Accessoires AG,Consumer Discretionary,BIJ.DE,EQ,
Cancom SE,Technology,COK.DE,EQ,
Carl Zeiss Meditec AG,Health Care,AFX.DE,EQ,
CECONOMY AG,Consumer Discretionary,CEC.DE,EQ,
Compugroup Medical SE & Co. KGaA,Technology,COP.DE,EQ,
CTS Eventim AG & Co. KGaA,Consumer Discretionary,EVD.DE,EQ,
Daimler Truck Holding AG,Industrials,DTG.DE,EQ,
Deutsche EuroShop AG,Real Estate,DEQ.DE,EQ,
Deutsche Pfandbriefbank AG,Financials,PBB.DE,EQ,
Deutsche Wohnen SE,Real Estate,DWNI.DE,EQ,
Deutz AG,Industrials,DEZ.DE,EQ,
DWS Group GmbH & Co. KGaA,Financials,DWS.DE,EQ,
Evonik Industries AG,Materials,EVK.DE,EQ,
Fielmann Group AG,Health Care,FIE.DE,EQ,
Fraport AG,Industrials,FRA.DE,EQ,
Freenet AG,Communication Services,FNTN.DE,EQ,
Fuchs SE,Materials,FPE3.DE,EQ,
GEA Group AG,Industrials,G1A.DE,EQ,
Gerresheimer AG,Industrials,GXI.DE,EQ,
Grenke AG,Financials,GLJ.DE,EQ,
Hamburger Hafen und Logistik AG,Industrials,HHFA.DE,EQ,
Hella GmbH & Co. KGaA,Consumer Discretionary,HLE.DE,EQ,
HUGO BOSS AG,Consumer Discretionary,BOSS.DE,EQ,
Instone Real Estate Group SE,Real Estate,INS.DE,EQ,
Jenoptik AG,Technology,JEN.DE,EQ,
Jungheinrich AG,Industrials,JUN3.DE,EQ,
K+S AG,Materials,SDZ.DE,EQ,
Knorr-Bremse AG,Industrials,KBX.DE,EQ,
Lanxess AG,Materials,LXS.DE,EQ,
LEG Immobilien SE,Real Estate,LEG.DE,EQ,
MAN SE,Industrials,MAN.DE,EQ,
Metro AG,Consumer Staples,B4B3.DE,EQ,
Nemetschek SE,Technology,NEM.DE,EQ,
NORMA Group SE,Industrials,NOEJ.DE,EQ,
Osram Licht AG,Technology,OSR.DE,EQ,
Patrizia SE,Financials,PAT.DE,EQ,
Puma SE,Consumer Discretionary,PUM.DE,EQ,
Rational AG,Industrials,RAA.DE,EQ,
RTL Group SA,Communication Services,RRTL.DE,EQ,
Schaeffler AG,Industrials,SHA.DE,EQ,
Scout24 SE,Technology,G24.DE,EQ,
Siltronic AG,Technology,WAF.DE,EQ,
Software AG,Technology,SOW.DE,EQ,
Stabilus SE,Industrials,STM.DE,EQ,
Stroeer SE & Co. KGaA,Communication Services,SAX.DE,EQ,
Südzucker AG,Consumer Staples,SZU.DE,EQ,
TAG Immobilien AG,Real Estate,TEG.DE,EQ,
TeamViewer SE,Technology,TMV.DE,EQ,
TUI AG,Consumer Discretionary,TUI1.DE,EQ,
Varta AG,Technology,VAR1.DE,EQ,
Wacker Chemie AG,Materials,WCH.DE,EQ,
Wacker Neuson SE,Industrials,WAC.DE,EQ,
Westwing Group SE,Consumer Discretionary,WEW.DE,EQ,
Wüstenrot & Württembergische AG,Financials,WUW.DE,EQ,
Zeal Network SE,Consumer Discretionary,TIMA.DE,EQ,
Zooplus SE,Consumer Discretionary,ZO1.DE,EQ,
Adler Group SA,Real Estate,ADJ.DE,EQ,
Adler Real Estate AG,Real Estate,ADL.DE,EQ,
Amadeus Fire AG,Industrials,AAD.DE,EQ,
Atoss Software SE,Technology,AOF.DE,EQ,
BayWa AG,Consumer Staples,BYW6.DE,EQ,
BioNTech SE,Health Care,22UA.DE,EQ,
Borussia Dortmund GmbH & Co. KGaA,Consumer Discretionary,BVB.DE,EQ,
Corestate Capital Holding SA,Financials,CCAP.DE,EQ,
Dermapharm Holding SE,Health Care,DMP.DE,EQ,
DFB-Campus GmbH,Consumer Discretionary,DFB.DE,EQ,
Drägerwerk AG & Co. KGaA,Health Care,DRW3.DE,EQ,
Elmos Semiconductor SE,Technology,ELG.DE,EQ,
Energiekontor AG,Utilities,EKT.DE,EQ,
Eurokai GmbH & Co. KGaA,Industrials,EUK3.DE,EQ,
Fabasoft AG,Technology,FAB.DE,EQ,
Friedrich Vorwerk Group SE,Industrials,VH2.DE,EQ,
Gesco AG,Industrials,GSC1.DE,EQ,
Grammer AG,Consumer Discretionary,GMM.DE,EQ,
Hamborner REIT AG,Real Estate,HABA.DE,EQ,
Heidelberg Pharma AG,Health Care,HPHA.DE,EQ,
Heidelberger Druckmaschinen AG,Industrials,HDD.DE,EQ,
Hellofresh SE,Consumer Staples,HFG.DE,EQ,
Hypoport SE,Financials,HYQ.DE,EQ,
Intershop Communications AG,Technology,ISH2.DE,EQ,
Itelligence AG,Technology,ILI.DE,EQ,
Kontron AG,Technology,KTN.DE,EQ,
Legalitas AG,Financials,LGS.DE,EQ,
Manz AG,Industrials,M5Z.DE,EQ,
Masterflex SE,Industrials,MZX.DE,EQ,
MBB SE,Industrials,MBB.DE,EQ,
Mensch und Maschine Software SE,Technology,MUM.DE,EQ,
Mutares SE & Co. KGaA,Industrials,MUX.DE,EQ,
Nagarro SE,Technology,NA9.DE,EQ,
NewWork SE,Technology,NEW.DE,EQ,
Nexus AG,Health Care,NXU.DE,EQ,
Nordex SE,Energy,NDX1.DE,EQ,
Patrizia Immobilien AG,Real Estate,P1Z.DE,EQ,
Pfeiffer Vacuum Technology AG,Industrials,PFV.DE,EQ,
ProSiebenSat.1 Media SE,Communication Services,PSM.DE,EQ,
PSI Software AG,Technology,PSAN.DE,EQ,
Publity AG,Real Estate,PBY.DE,EQ,
R. Stahl AG,Industrials,RSL2.DE,EQ,
Ringmetall SE,Materials,HP3.DE,EQ,
Sto SE & Co. KGaA,Materials,STO3.DE,EQ,
Süss MicroTec SE,Technology,SMHN.DE,EQ,
SynBiotic SE,Health Care,SYT.DE,EQ,
Takkt AG,Industrials,TTK.DE,EQ,
Verbio SE,Energy,VBK.DE,EQ,
YOC AG,Technology,YOC.DE,EQ,
