Company Name,Industry,Symbol,Series,ISIN Code
Allianz SE,Financials,ALV.DE,EQ,
Deutsche Bank AG,Financials,DBK.DE,EQ,
Commerzbank AG,Financials,CBK.DE,EQ,
Deutsche Boerse AG,Financials,DB1.DE,EQ,
Muenchener Rueckversicherungs AG,Financials,MUV2.DE,EQ,
Hannover Rueck SE,Financials,HNR1.DE,EQ,
Bayer AG,Health Care,BAYN.DE,EQ,
Merck KGaA,Health Care,MRK.DE,EQ,
Fresenius SE & Co. KGaA,Health Care,FRE.DE,EQ,
Fresenius Medical Care AG & Co. KGaA,Health Care,FME.DE,EQ,
Sartorius AG,Health Care,SRT.DE,EQ,
Beiersdorf AG,Consumer Staples,BEI.DE,EQ,
Henkel AG & Co. KGaA,Consumer Staples,HENKY.DE,EQ,
BMW AG,Consumer Discretionary,BMW.DE,EQ,
Mercedes-Benz Group AG,Consumer Discretionary,MBG.DE,EQ,
Volkswagen AG (Preference),Consumer Discretionary,VOW3.DE,EQ,
Dr. Ing. h.c. F. Porsche AG,Consumer Discretionary,P911.DE,EQ,
Adidas AG,Consumer Discretionary,ADS.DE,EQ,
Zalando SE,Consumer Discretionary,ZAL.DE,EQ,
Siemens AG,Industrials,SIE.DE,EQ,
Deutsche Post AG,Industrials,DPW.DE,EQ,
MTU Aero Engines AG,Industrials,MTX.DE,EQ,
Rheinmetall AG,Industrials,RHM.DE,EQ,
Infineon Technologies AG,Industrials,IFX.DE,EQ,
Continental AG,Industrials,CON.DE,EQ,
KION Group AG,Industrials,KGX.DE,EQ,
Symrise AG,Industrials,SY1.DE,EQ,
SAP SE,Technology,SAP.DE,EQ,
Siemens Energy AG,Technology,ENR.DE,EQ,
BASF SE,Materials,BAS.DE,EQ,
Covestro AG,Materials,1COV.DE,EQ,
Linde plc,Materials,LIN.DE,EQ,
HeidelbergCement AG (Heidelberg Materials),Materials,HEI.DE,EQ,
RWE AG,Energy,RWE.DE,EQ,
E.ON SE,Utilities,EOAN.DE,EQ,
Deutsche Telekom AG,Communication Services,DTE.DE,EQ,
Brenntag SE,Industrials,BNR.DE,EQ,
Vonovia SE,Real Estate,VNA.DE,EQ,
