Company Name,Industry,Symbol,Series,ISIN Code
Aareal Bank AG,Financials,ARL.DE,EQ,
Aixtron SE,Technology,AIXA.DE,EQ,
Aroundtown SA,Real Estate,AT1.DE,EQ,
Aurubis AG,Materials,NDA.DE,EQ,
Bechtle AG,Technology,BC8.DE,EQ,
Bijou Brigitte modische Accessoires AG,Consumer Discretionary,BIJ.DE,EQ,
Cancom SE,Technology,COK.DE,EQ,
Carl Zeiss Meditec AG,Health Care,AFX.DE,EQ,
CECONOMY AG,Consumer Discretionary,CEC.DE,EQ,
Compugroup Medical SE & Co. KGaA,Technology,COP.DE,EQ,
CTS Eventim AG & Co. KGaA,Consumer Discretionary,EVD.DE,EQ,
Daimler Truck Holding AG,Industrials,DTG.DE,EQ,
Deutsche EuroShop AG,Real Estate,DEQ.DE,EQ,
Deutsche Pfandbriefbank AG,Financials,PBB.DE,EQ,
Deutsche Telekom AG,Communication Services,DTE.DE,EQ,
Deutsche Wohnen SE,Real Estate,DWNI.DE,EQ,
Deutz AG,Industrials,DEZ.DE,EQ,
DWS Group GmbH & Co. KGaA,Financials,DWS.DE,EQ,
Evonik Industries AG,Materials,EVK.DE,EQ,
Fielmann Group AG,Health Care,FIE.DE,EQ,
Fraport AG,Industrials,FRA.DE,EQ,
Freenet AG,Communication Services,FNTN.DE,EQ,
Fuchs SE,Materials,FPE3.DE,EQ,
GEA Group AG,Industrials,G1A.DE,EQ,
Gerresheimer AG,Industrials,GXI.DE,EQ,
Grenke AG,Financials,GLJ.DE,EQ,
Hamburger Hafen und Logistik AG,Industrials,HHFA.DE,EQ,
Hella GmbH & Co. KGaA,Consumer Discretionary,HLE.DE,EQ,
Henkel AG & Co. KGaA Vz,Consumer Staples,HENKY.DE,EQ,
HUGO BOSS AG,Consumer Discretionary,BOSS.DE,EQ,
Instone Real Estate Group SE,Real Estate,INS.DE,EQ,
Jenoptik AG,Technology,JEN.DE,EQ,
Jungheinrich AG,Industrials,JUN3.DE,EQ,
K+S AG,Materials,SDZ.DE,EQ,
KION Group AG,Industrials,KGX.DE,EQ,
Knorr-Bremse AG,Industrials,KBX.DE,EQ,
Lanxess AG,Materials,LXS.DE,EQ,
LEG Immobilien SE,Real Estate,LEG.DE,EQ,
MAN SE,Industrials,MAN.DE,EQ,
Metro AG,Consumer Staples,B4B3.DE,EQ,
MTU Aero Engines AG,Industrials,MTX.DE,EQ,
Nemetschek SE,Technology,NEM.DE,EQ,
NORMA Group SE,Industrials,NOEJ.DE,EQ,
Osram Licht AG,Technology,OSR.DE,EQ,
Patrizia SE,Financials,PAT.DE,EQ,
Puma SE,Consumer Discretionary,PUM.DE,EQ,
Rational AG,Industrials,RAA.DE,EQ,
Rheinmetall AG,Industrials,RHM.DE,EQ,
RTL Group SA,Communication Services,RRTL.DE,EQ,
RWE AG,Energy,RWE.DE,EQ,
Schaeffler AG,Industrials,SHA.DE,EQ,
Scout24 SE,Technology,G24.DE,EQ,
Siltronic AG,Technology,WAF.DE,EQ,
Software AG,Technology,SOW.DE,EQ,
Stabilus SE,Industrials,STM.DE,EQ,
Stroeer SE & Co. KGaA,Communication Services,SAX.DE,EQ,
Südzucker AG,Consumer Staples,SZU.DE,EQ,
TAG Immobilien AG,Real Estate,TEG.DE,EQ,
TeamViewer SE,Technology,TMV.DE,EQ,
TUI AG,Consumer Discretionary,TUI1.DE,EQ,
Varta AG,Technology,VAR1.DE,EQ,
Wacker Chemie AG,Materials,WCH.DE,EQ,
Wacker Neuson SE,Industrials,WAC.DE,EQ,
Westwing Group SE,Consumer Discretionary,WEW.DE,EQ,
Wüstenrot & Württembergische AG,Financials,WUW.DE,EQ,
Zeal Network SE,Consumer Discretionary,TIMA.DE,EQ,
Zooplus SE,Consumer Discretionary,ZO1.DE,EQ,
