Company Name,Industry,Symbol,Series,ISIN Code
Adler Group SA,Real Estate,ADJ.DE,EQ,
Adler Real Estate AG,Real Estate,ADL.DE,EQ,
Amadeus Fire AG,Industrials,AAD.DE,EQ,
Atoss Software SE,Technology,AOF.DE,EQ,
BayWa AG,Consumer Staples,BYW6.DE,EQ,
BioNTech SE,Health Care,22UA.DE,EQ,
Borussia Dortmund GmbH & Co. KGaA,Consumer Discretionary,BVB.DE,EQ,
Corestate Capital Holding SA,Financials,CCAP.DE,EQ,
Dermapharm Holding SE,Health Care,DMP.DE,EQ,
DFB-Campus GmbH,Consumer Discretionary,DFB.DE,EQ,
Drägerwerk AG & Co. KGaA,Health Care,DRW3.DE,EQ,
Elmos Semiconductor SE,Technology,ELG.DE,EQ,
Energiekontor AG,Utilities,EKT.DE,EQ,
Eurokai GmbH & Co. KGaA,Industrials,EUK3.DE,EQ,
Fabasoft AG,Technology,FAB.DE,EQ,
Friedrich Vorwerk Group SE,Industrials,VH2.DE,EQ,
Gesco AG,Industrials,GSC1.DE,EQ,
Grammer AG,Consumer Discretionary,GMM.DE,EQ,
Hamborner REIT AG,Real Estate,HABA.DE,EQ,
Heidelberg Pharma AG,Health Care,HPHA.DE,EQ,
Heidelberger Druckmaschinen AG,Industrials,HDD.DE,EQ,
Hellofresh SE,Consumer Staples,HFG.DE,EQ,
Hypoport SE,Financials,HYQ.DE,EQ,
Intershop Communications AG,Technology,ISH2.DE,EQ,
Itelligence AG,Technology,ILI.DE,EQ,
Kontron AG,Technology,KTN.DE,EQ,
Legalitas AG,Financials,LGS.DE,EQ,
Manz AG,Industrials,M5Z.DE,EQ,
Masterflex SE,Industrials,MZX.DE,EQ,
MBB SE,Industrials,MBB.DE,EQ,
Mensch und Maschine Software SE,Technology,MUM.DE,EQ,
Mutares SE & Co. KGaA,Industrials,MUX.DE,EQ,
Nagarro SE,Technology,NA9.DE,EQ,
NewWork SE,Technology,NEW.DE,EQ,
Nexus AG,Health Care,NXU.DE,EQ,
Nordex SE,Energy,NDX1.DE,EQ,
Patrizia Immobilien AG,Real Estate,P1Z.DE,EQ,
Pfeiffer Vacuum Technology AG,Industrials,PFV.DE,EQ,
ProSiebenSat.1 Media SE,Communication Services,PSM.DE,EQ,
PSI Software AG,Technology,PSAN.DE,EQ,
Publity AG,Real Estate,PBY.DE,EQ,
R. Stahl AG,Industrials,RSL2.DE,EQ,
Ringmetall SE,Materials,HP3.DE,EQ,
Sto SE & Co. KGaA,Materials,STO3.DE,EQ,
Süss MicroTec SE,Technology,SMHN.DE,EQ,
SynBiotic SE,Health Care,SYT.DE,EQ,
Takkt AG,Industrials,TTK.DE,EQ,
Verbio SE,Energy,VBK.DE,EQ,
Westwing Group SE,Consumer Discretionary,WEW.DE,EQ,
YOC AG,Technology,YOC.DE,EQ,
