Company Name,Industry,Symbol,Series,ISIN Code
BMW AG,Consumer Discretionary,BMW.DE,EQ,
Mercedes-Benz Group AG,Consumer Discretionary,MBG.DE,EQ,
Volkswagen AG (Preference),Consumer Discretionary,VOW3.DE,EQ,
Dr. Ing. h.c. F. Porsche AG,Consumer Discretionary,P911.DE,EQ,
Adidas AG,Consumer Discretionary,ADS.DE,EQ,
Zalando SE,Consumer Discretionary,ZAL.DE,EQ,
Bijou Brigitte modische Accessoires AG,Consumer Discretionary,BIJ.DE,EQ,
CECONOMY AG,Consumer Discretionary,CEC.DE,EQ,
CTS Eventim AG & Co. KGaA,Consumer Discretionary,EVD.DE,EQ,
Hella GmbH & Co. KGaA,Consumer Discretionary,HLE.DE,EQ,
HUGO BOSS AG,Consumer Discretionary,BOSS.DE,EQ,
Puma SE,Consumer Discretionary,PUM.DE,EQ,
TUI AG,Consumer Discretionary,TUI1.DE,EQ,
Westwing Group SE,Consumer Discretionary,WEW.DE,EQ,
Zeal Network SE,Consumer Discretionary,TIMA.DE,EQ,
Zooplus SE,Consumer Discretionary,ZO1.DE,EQ,
Borussia Dortmund GmbH & Co. KGaA,Consumer Discretionary,BVB.DE,EQ,
DFB-Campus GmbH,Consumer Discretionary,DFB.DE,EQ,
Grammer AG,Consumer Discretionary,GMM.DE,EQ,
