Company Name,Industry,Symbol,Series,ISIN Code
Allianz SE,Financials,ALV.DE,EQ,
Deutsche Bank AG,Financials,DBK.DE,EQ,
Commerzbank AG,Financials,CBK.DE,EQ,
Deutsche Boerse AG,Financials,DB1.DE,EQ,
Muenchener Rueckversicherungs AG,Financials,MUV2.DE,EQ,
Hannover Rueck SE,Financials,HNR1.DE,EQ,
Aareal Bank AG,Financials,ARL.DE,EQ,
Deutsche Pfandbriefbank AG,Financials,PBB.DE,EQ,
DWS Group GmbH & Co. KGaA,Financials,DWS.DE,EQ,
Grenke AG,Financials,GLJ.DE,EQ,
Patrizia SE,Financials,PAT.DE,EQ,
Wüstenrot & Württembergische AG,Financials,WUW.DE,EQ,
Corestate Capital Holding SA,Financials,CCAP.DE,EQ,
Hypoport SE,Financials,HYQ.DE,EQ,
Legalitas AG,Financials,LGS.DE,EQ,
