Company Name,Industry,Symbol,Series,ISIN Code
Bayer AG,Health Care,BAYN.DE,EQ,
Merck KGaA,Health Care,MRK.DE,EQ,
Fresenius SE & Co. KGaA,Health Care,FRE.DE,EQ,
Fresenius Medical Care AG & Co. KGaA,Health Care,FME.DE,EQ,
Sartorius AG,Health Care,SRT.DE,EQ,
Carl Zeiss Meditec AG,Health Care,AFX.DE,EQ,
Fielmann Group AG,Health Care,FIE.DE,EQ,
BioNTech SE,Health Care,22UA.DE,EQ,
Dermapharm Holding SE,Health Care,DMP.DE,EQ,
Drägerwerk AG & Co. KGaA,Health Care,DRW3.DE,EQ,
Heidelberg Pharma AG,Health Care,HPHA.DE,EQ,
Nexus AG,Health Care,NXU.DE,EQ,
SynBiotic SE,Health Care,SYT.DE,EQ,
