Company Name,Industry,Symbol,Series,ISIN Code
Siemens AG,Industrials,SIE.DE,EQ,
Deutsche Post AG,Industrials,DPW.DE,EQ,
MTU Aero Engines AG,Industrials,MTX.DE,EQ,
Rheinmetall AG,Industrials,RHM.DE,EQ,
Infineon Technologies AG,Industrials,IFX.DE,EQ,
Continental AG,Industrials,CON.DE,EQ,
KION Group AG,Industrials,KGX.DE,EQ,
Symrise AG,Industrials,SY1.DE,EQ,
Brenntag SE,Industrials,BNR.DE,EQ,
Daimler Truck Holding AG,Industrials,DTG.DE,EQ,
Deutz AG,Industrials,DEZ.DE,EQ,
Fraport AG,Industrials,FRA.DE,EQ,
GEA Group AG,Industrials,G1A.DE,EQ,
Gerresheimer AG,Industrials,GXI.DE,EQ,
Hamburger Hafen und Logistik AG,Industrials,HHFA.DE,EQ,
Jungheinrich AG,Industrials,JUN3.DE,EQ,
Knorr-Bremse AG,Industrials,KBX.DE,EQ,
MAN SE,Industrials,MAN.DE,EQ,
NORMA Group SE,Industrials,NOEJ.DE,EQ,
Rational AG,Industrials,RAA.DE,EQ,
Schaeffler AG,Industrials,SHA.DE,EQ,
Stabilus SE,Industrials,STM.DE,EQ,
Wacker Neuson SE,Industrials,WAC.DE,EQ,
Amadeus Fire AG,Industrials,AAD.DE,EQ,
Eurokai GmbH & Co. KGaA,Industrials,EUK3.DE,EQ,
Friedrich Vorwerk Group SE,Industrials,VH2.DE,EQ,
Gesco AG,Industrials,GSC1.DE,EQ,
Heidelberger Druckmaschinen AG,Industrials,HDD.DE,EQ,
Manz AG,Industrials,M5Z.DE,EQ,
Masterflex SE,Industrials,MZX.DE,EQ,
MBB SE,Industrials,MBB.DE,EQ,
Mutares SE & Co. KGaA,Industrials,MUX.DE,EQ,
Pfeiffer Vacuum Technology AG,Industrials,PFV.DE,EQ,
R. Stahl AG,Industrials,RSL2.DE,EQ,
Takkt AG,Industrials,TTK.DE,EQ,
