Company Name,Industry,Symbol,Series,ISIN Code
Vonovia SE,Real Estate,VNA.DE,EQ,
Aroundtown SA,Real Estate,AT1.DE,EQ,
Deutsche EuroShop AG,Real Estate,DEQ.DE,EQ,
Deutsche Wohnen SE,Real Estate,DWNI.DE,EQ,
Instone Real Estate Group SE,Real Estate,INS.DE,EQ,
LEG Immobilien SE,Real Estate,LEG.DE,EQ,
TAG Immobilien AG,Real Estate,TEG.DE,EQ,
Adler Group SA,Real Estate,ADJ.DE,EQ,
Adler Real Estate AG,Real Estate,ADL.DE,EQ,
Hamborner REIT AG,Real Estate,HABA.DE,EQ,
Patrizia Immobilien AG,Real Estate,P1Z.DE,EQ,
Publity AG,Real Estate,PBY.DE,EQ,
