Company Name,Industry,Symbol,Series,ISIN Code
SAP SE,Technology,SAP.DE,EQ,
Siemens Energy AG,Technology,ENR.DE,EQ,
Aixtron SE,Technology,AIXA.DE,EQ,
Bechtle AG,Technology,BC8.DE,EQ,
Cancom SE,Technology,COK.DE,EQ,
Compugroup Medical SE & Co. KGaA,Technology,COP.DE,EQ,
Jenoptik AG,Technology,JEN.DE,EQ,
Nemetschek SE,Technology,NEM.DE,EQ,
Osram Licht AG,Technology,OSR.DE,EQ,
Scout24 SE,Technology,G24.DE,EQ,
Siltronic AG,Technology,WAF.DE,EQ,
Software AG,Technology,SOW.DE,EQ,
TeamViewer SE,Technology,TMV.DE,EQ,
Varta AG,Technology,VAR1.DE,EQ,
Atoss Software SE,Technology,AOF.DE,EQ,
Elmos Semiconductor SE,Technology,ELG.DE,EQ,
Fabasoft AG,Technology,FAB.DE,EQ,
Intershop Communications AG,Technology,ISH2.DE,EQ,
Itelligence AG,Technology,ILI.DE,EQ,
Kontron AG,Technology,KTN.DE,EQ,
Mensch und Maschine Software SE,Technology,MUM.DE,EQ,
Nagarro SE,Technology,NA9.DE,EQ,
NewWork SE,Technology,NEW.DE,EQ,
PSI Software AG,Technology,PSAN.DE,EQ,
Süss MicroTec SE,Technology,SMHN.DE,EQ,
YOC AG,Technology,YOC.DE,EQ,
