Company Name,Industry,Symbol,Series,ISIN Code
BNP Paribas SA,Financials,BNP.PA,EQ,
Credit Agricole SA,Financials,ACA.PA,EQ,
Societe Generale SA,Financials,GLE.PA,EQ,
AXA SA,Financials,CS.PA,EQ,
Amundi SA,Financials,AMUN.PA,EQ,
Sanofi SA,Health Care,SAN.PA,EQ,
EssilorLuxottica SA,Health Care,EL.PA,EQ,
L'Oreal SA,Consumer Staples,OR.PA,EQ,
LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,MC.PA,EQ,
Hermes International SCA,Consumer Discretionary,RMS.PA,EQ,
Kering SA,Consumer Discretionary,KER.PA,EQ,
Danone SA,Consumer Staples,BN.PA,EQ,
Pernod Ricard SA,Consumer Staples,RI.PA,EQ,
TotalEnergies SE,Energy,TTE.PA,EQ,
Airbus SE,Industrials,AIR.PA,EQ,
Safran SA,Industrials,SAF.PA,EQ,
Vinci SA,Industrials,DG.PA,EQ,
Saint-Gobain SA,Industrials,SGO.PA,EQ,
Schneider Electric SE,Industrials,SU.PA,EQ,
Thales SA,Industrials,HO.PA,EQ,
Bouygues SA,Industrials,EN.PA,EQ,
Legrand SA,Industrials,LR.PA,EQ,
Capgemini SE,Technology,CAP.PA,EQ,
STMicroelectronics NV,Technology,STM.PA,EQ,
Dassault Systemes SE,Technology,DSY.PA,EQ,
Worldline SA,Technology,WLN.PA,EQ,
Air Liquide SA,Materials,AI.PA,EQ,
ArcelorMittal SA,Materials,MT.PA,EQ,
Unibail-Rodamco-Westfield SE,Real Estate,URW.PA,EQ,
Engie SA,Utilities,ENGI.PA,EQ,
Electricite de France SA,Utilities,EDF.PA,EQ,
Orange SA,Communication Services,ORA.PA,EQ,
Publicis Groupe SA,Communication Services,PUB.PA,EQ,
Stellantis NV,Consumer Discretionary,STLAM.MI,EQ,
Renault SA,Consumer Discretionary,RNO.PA,EQ,
Eurazeo SE,Financials,RF.PA,EQ,
Teleperformance SE,Industrials,TEP.PA,EQ,
Veolia Environnement SA,Utilities,VIE.PA,EQ,
Sodexo SA,Industrials,SW.PA,EQ,
Michelin SA,Consumer Discretionary,ML.PA,EQ,
