Company Name,Industry,Symbol,Series,ISIN Code
Accor SA,Consumer Discretionary,AC.PA,EQ,
Alten SA,Technology,ATE.PA,EQ,
Alstom SA,Industrials,ALO.PA,EQ,
Amundi SA,Financials,AMUN.PA,EQ,
Arkema SA,Materials,AKE.PA,EQ,
Assystem SA,Industrials,ASY.PA,EQ,
Aubay SA,Technology,AUB.PA,EQ,
Biomerieux SA,Health Care,BIM.PA,EQ,
BNP Paribas SA,Financials,BNP.PA,EQ,
Bureau Veritas SA,Industrials,BVI.PA,EQ,
Carmila SA,Real Estate,CARM.PA,EQ,
Cie Generale de Geophysique-Veritas,Energy,CGG.PA,EQ,
Cnova NV,Consumer Discretionary,CNV.PA,EQ,
Coface SA,Financials,COFA.PA,EQ,
Covivio SA,Real Estate,COV.PA,EQ,
Derichebourg SA,Industrials,DBG.PA,EQ,
Edenred SE,Technology,EDEN.PA,EQ,
Eiffage SA,Industrials,FGR.PA,EQ,
Elior Group SA,Consumer Discretionary,ELIOR.PA,EQ,
Euler Hermes Group SA,Financials,ELE.PA,EQ,
Eurazeo SE,Financials,RF.PA,EQ,
Europcar Mobility Group SA,Consumer Discretionary,EUCAR.PA,EQ,
Eutelsat Communications SA,Communication Services,ETL.PA,EQ,
Faurecia SE,Consumer Discretionary,EO.PA,EQ,
Fnac Darty SA,Consumer Discretionary,FNAC.PA,EQ,
Getlink SE,Industrials,GET.PA,EQ,
GTT SA,Industrials,GTT.PA,EQ,
Icade SA,Real Estate,ICAD.PA,EQ,
ID Logistics Group SA,Industrials,IDL.PA,EQ,
Imerys SA,Materials,NK.PA,EQ,
Ipsen SA,Health Care,IPN.PA,EQ,
JCDecaux SA,Communication Services,DEC.PA,EQ,
Klépierre SA,Real Estate,LI.PA,EQ,
La Francaise des Jeux SA,Consumer Discretionary,FDJ.PA,EQ,
Lagardere SA,Communication Services,MMB.PA,EQ,
Lectra SA,Technology,LSS.PA,EQ,
Metropole Television SA,Communication Services,MMT.PA,EQ,
Nexans SA,Materials,NEX.PA,EQ,
Nexity SA,Real Estate,NXI.PA,EQ,
Nicox SA,Health Care,COX.PA,EQ,
Orpea SA,Health Care,ORP.PA,EQ,
Oui.sncf,Consumer Discretionary,OUI.PA,EQ,
Plastic Omnium SE,Consumer Discretionary,POM.PA,EQ,
Quadient SA,Technology,QDT.PA,EQ,
Remy Cointreau SA,Consumer Staples,RCO.PA,EQ,
Rexel SA,Industrials,RXL.PA,EQ,
Rubis SCA,Energy,RUI.PA,EQ,
Sartorius Stedim Biotech SA,Health Care,DIM.PA,EQ,
SEB SA,Consumer Discretionary,SK.PA,EQ,
Seloger SA,Real Estate,SLG.PA,EQ,
Sequana Medical NV,Health Care,SEQ.PA,EQ,
SFPI SA,Financials,SFPI.PA,EQ,
Sopra Steria Group SA,Technology,SOP.PA,EQ,
Spie SA,Industrials,SPIE.PA,EQ,
Tipiak SA,Consumer Staples,TIPI.PA,EQ,
Tikehau Capital SCA,Financials,TKO.PA,EQ,
TotalEnergies SE,Energy,TTE.PA,EQ,
Trigano SA,Consumer Discretionary,TRI.PA,EQ,
Ubisoft Entertainment SA,Technology,UBI.PA,EQ,
Vallourec SA,Materials,VK.PA,EQ,
Vicat SA,Materials,VCT.PA,EQ,
Virbac SA,Health Care,VIRP.PA,EQ,
Voltalia SA,Utilities,VLTSA.PA,EQ,
Wendel SE,Financials,MF.PA,EQ,
