Company Name,Industry,Symbol,Series,ISIN Code
BNP Paribas SA,Financials,BNP.PA,EQ,
Credit Agricole SA,Financials,ACA.PA,EQ,
Societe Generale SA,Financials,GLE.PA,EQ,
AXA SA,Financials,CS.PA,EQ,
Amundi SA,Financials,AMUN.PA,EQ,
Sanofi SA,Health Care,SAN.PA,EQ,
EssilorLuxottica SA,Health Care,EL.PA,EQ,
L'Oreal SA,Consumer Staples,OR.PA,EQ,
LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,MC.PA,EQ,
Hermes International SCA,Consumer Discretionary,RMS.PA,EQ,
Kering SA,Consumer Discretionary,KER.PA,EQ,
Danone SA,Consumer Staples,BN.PA,EQ,
Pernod Ricard SA,Consumer Staples,RI.PA,EQ,
TotalEnergies SE,Energy,TTE.PA,EQ,
Airbus SE,Industrials,AIR.PA,EQ,
Safran SA,Industrials,SAF.PA,EQ,
Vinci SA,Industrials,DG.PA,EQ,
Saint-Gobain SA,Industrials,SGO.PA,EQ,
Schneider Electric SE,Industrials,SU.PA,EQ,
Thales SA,Industrials,HO.PA,EQ,
Bouygues SA,Industrials,EN.PA,EQ,
Legrand SA,Industrials,LR.PA,EQ,
Capgemini SE,Technology,CAP.PA,EQ,
STMicroelectronics NV,Technology,STM.PA,EQ,
Dassault Systemes SE,Technology,DSY.PA,EQ,
Worldline SA,Technology,WLN.PA,EQ,
Air Liquide SA,Materials,AI.PA,EQ,
ArcelorMittal SA,Materials,MT.PA,EQ,
Unibail-Rodamco-Westfield SE,Real Estate,URW.PA,EQ,
Engie SA,Utilities,ENGI.PA,EQ,
Electricite de France SA,Utilities,EDF.PA,EQ,
Orange SA,Communication Services,ORA.PA,EQ,
Publicis Groupe SA,Communication Services,PUB.PA,EQ,
Stellantis NV,Consumer Discretionary,STLAM.MI,EQ,
Renault SA,Consumer Discretionary,RNO.PA,EQ,
Eurazeo SE,Financials,RF.PA,EQ,
Teleperformance SE,Industrials,TEP.PA,EQ,
Veolia Environnement SA,Utilities,VIE.PA,EQ,
Sodexo SA,Industrials,SW.PA,EQ,
Michelin SA,Consumer Discretionary,ML.PA,EQ,
Accor SA,Consumer Discretionary,AC.PA,EQ,
Alten SA,Technology,ATE.PA,EQ,
Alstom SA,Industrials,ALO.PA,EQ,
Arkema SA,Materials,AKE.PA,EQ,
Assystem SA,Industrials,ASY.PA,EQ,
Aubay SA,Technology,AUB.PA,EQ,
Biomerieux SA,Health Care,BIM.PA,EQ,
Bureau Veritas SA,Industrials,BVI.PA,EQ,
Carmila SA,Real Estate,CARM.PA,EQ,
Cie Generale de Geophysique-Veritas,Energy,CGG.PA,EQ,
Cnova NV,Consumer Discretionary,CNV.PA,EQ,
Coface SA,Financials,COFA.PA,EQ,
Covivio SA,Real Estate,COV.PA,EQ,
Derichebourg SA,Industrials,DBG.PA,EQ,
Edenred SE,Technology,EDEN.PA,EQ,
Eiffage SA,Industrials,FGR.PA,EQ,
Elior Group SA,Consumer Discretionary,ELIOR.PA,EQ,
Euler Hermes Group SA,Financials,ELE.PA,EQ,
Europcar Mobility Group SA,Consumer Discretionary,EUCAR.PA,EQ,
Eutelsat Communications SA,Communication Services,ETL.PA,EQ,
Faurecia SE,Consumer Discretionary,EO.PA,EQ,
Fnac Darty SA,Consumer Discretionary,FNAC.PA,EQ,
