Company Name,Industry,Symbol,Series,ISIN Code
LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,MC.PA,EQ,
Hermes International SCA,Consumer Discretionary,RMS.PA,EQ,
Kering SA,Consumer Discretionary,KER.PA,EQ,
Stellantis NV,Consumer Discretionary,STLAM.MI,EQ,
Renault SA,Consumer Discretionary,RNO.PA,EQ,
Michelin SA,Consumer Discretionary,ML.PA,EQ,
Accor SA,Consumer Discretionary,AC.PA,EQ,
Cnova NV,Consumer Discretionary,CNV.PA,EQ,
Elior Group SA,Consumer Discretionary,ELIOR.PA,EQ,
Europcar Mobility Group SA,Consumer Discretionary,EUCAR.PA,EQ,
Faurecia SE,Consumer Discretionary,EO.PA,EQ,
Fnac Darty SA,Consumer Discretionary,FNAC.PA,EQ,
La Francaise des Jeux SA,Consumer Discretionary,FDJ.PA,EQ,
Oui.sncf,Consumer Discretionary,OUI.PA,EQ,
Plastic Omnium SE,Consumer Discretionary,POM.PA,EQ,
SEB SA,Consumer Discretionary,SK.PA,EQ,
Trigano SA,Consumer Discretionary,TRI.PA,EQ,
ADLPartner SA,Consumer Discretionary,ALDP.PA,EQ,
ALD SA,Consumer Discretionary,ALD.PA,EQ,
Burelle SA,Consumer Discretionary,BUR.PA,EQ,
