Company Name,Industry,Symbol,Series,ISIN Code
Sanofi SA,Health Care,SAN.PA,EQ,
EssilorLuxottica SA,Health Care,EL.PA,EQ,
Biomerieux SA,Health Care,BIM.PA,EQ,
Ipsen SA,Health Care,IPN.PA,EQ,
Nicox SA,Health Care,COX.PA,EQ,
Orpea SA,Health Care,ORP.PA,EQ,
Sartorius Stedim Biotech SA,Health Care,DIM.PA,EQ,
Sequana Medical NV,Health Care,SEQ.PA,EQ,
Virbac SA,Health Care,VIRP.PA,EQ,
AB Science SA,Health Care,AB.PA,EQ,
Bastide Le Confort Medical SA,Health Care,BLC.PA,EQ,
BioAtla Inc,Health Care,BCAB.PA,EQ,
BioInvent International AB,Health Care,BIIS.PA,EQ,
