Company Name,Industry,Symbol,Series,ISIN Code
Airbus SE,Industrials,AIR.PA,EQ,
Safran SA,Industrials,SAF.PA,EQ,
Vinci SA,Industrials,DG.PA,EQ,
Saint-Gobain SA,Industrials,SGO.PA,EQ,
Schneider Electric SE,Industrials,SU.PA,EQ,
Thales SA,Industrials,HO.PA,EQ,
Bouygues SA,Industrials,EN.PA,EQ,
Legrand SA,Industrials,LR.PA,EQ,
Teleperformance SE,Industrials,TEP.PA,EQ,
Sodexo SA,Industrials,SW.PA,EQ,
Alstom SA,Industrials,ALO.PA,EQ,
Assystem SA,Industrials,ASY.PA,EQ,
Bureau Veritas SA,Industrials,BVI.PA,EQ,
Derichebourg SA,Industrials,DBG.PA,EQ,
Eiffage SA,Industrials,FGR.PA,EQ,
Getlink SE,Industrials,GET.PA,EQ,
GTT SA,Industrials,GTT.PA,EQ,
ID Logistics Group SA,Industrials,IDL.PA,EQ,
Rexel SA,Industrials,RXL.PA,EQ,
Spie SA,Industrials,SPIE.PA,EQ,
Aeroportes de Paris SA,Industrials,ADP.PA,EQ,
Colas SA,Industrials,RE.PA,EQ,
