Company Name,Industry,Symbol,Series,ISIN Code
Capgemini SE,Technology,CAP.PA,EQ,
STMicroelectronics NV,Technology,STM.PA,EQ,
Dassault Systemes SE,Technology,DSY.PA,EQ,
Worldline SA,Technology,WLN.PA,EQ,
Alten SA,Technology,ATE.PA,EQ,
Aubay SA,Technology,AUB.PA,EQ,
Edenred SE,Technology,EDEN.PA,EQ,
Lectra SA,Technology,LSS.PA,EQ,
Quadient SA,Technology,QDT.PA,EQ,
Sopra Steria Group SA,Technology,SOP.PA,EQ,
Ubisoft Entertainment SA,Technology,UBI.PA,EQ,
Ateme SA,Technology,ATEME.PA,EQ,
Aures Technologies SA,Technology,AURS.PA,EQ,
Blue Solutions SA,Technology,BLEUS.PA,EQ,
